Walk4,,,,,,,,,,Time-offsetted data,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
29752,3.23,8.02,-0.88,13.12,1.19,-0.47,4.64,8.48,,587,3.23,8.02,-0.88,13.12,1.19,-0.47,4.64,8.48
29768,5.79,8.8,2.08,0.2,1.55,0,3.88,8.15,,603,5.79,8.8,2.08,0.2,1.55,0,3.88,8.15
29784,3.07,4.3,0.26,-1.64,-1.18,0,1.72,7.67,,619,3.07,4.3,0.26,-1.64,-1.18,0,1.72,7.67
29800,2.22,2.71,0.09,-0.94,-0.55,0.96,2.28,8.11,,635,2.22,2.71,0.09,-0.94,-0.55,0.96,2.28,8.11
29817,2.69,1.45,-0.08,0.82,-0.33,6.39,2.98,9.6,,652,2.69,1.45,-0.08,0.82,-0.33,6.39,2.98,9.6
29833,3.95,1.54,3.89,14.46,-3.18,17.78,3.97,10.18,,668,3.95,1.54,3.89,14.46,-3.18,17.78,3.97,10.18
29849,3.37,0.78,12.14,0.33,-3.07,17.83,4.58,5.45,,684,3.37,0.78,12.14,0.33,-3.07,17.83,4.58,5.45
29865,-0.72,-0.02,6.72,0.25,-1.33,16.93,2.41,-0.13,,700,-0.72,-0.02,6.72,0.25,-1.33,16.93,2.41,-0.13
29881,-0.56,0.14,3.65,-0.11,-2.74,11.86,0.53,0.17,,716,-0.56,0.14,3.65,-0.11,-2.74,11.86,0.53,0.17
29897,-0.5,0.31,-0.68,-0.98,0.19,1.55,0.6,0.55,,732,-0.5,0.31,-0.68,-0.98,0.19,1.55,0.6,0.55
29913,0.73,0.45,-0.63,-1.22,0.53,0.14,5.38,1.28,,748,0.73,0.45,-0.63,-1.22,0.53,0.14,5.38,1.28
29930,0.03,0.41,2.55,-1.26,3.22,0.05,8.15,0.54,,765,0.03,0.41,2.55,-1.26,3.22,0.05,8.15,0.54
29946,4.53,10.81,5.97,-1.88,6.09,-1.65,3.3,-3.39,,781,4.53,10.81,5.97,-1.88,6.09,-1.65,3.3,-3.39
29963,-8.6,8.83,3,-0.5,1.63,-0.88,0.56,0.32,,798,-8.6,8.83,3,-0.5,1.63,-0.88,0.56,0.32
29980,0.31,2.42,0.54,1.03,7.91,2.69,0.18,-1.08,,815,0.31,2.42,0.54,1.03,7.91,2.69,0.18,-1.08
29996,0.51,0.28,0.2,5.99,6.12,3.35,-0.09,0.9,,831,0.51,0.28,0.2,5.99,6.12,3.35,-0.09,0.9
30012,-0.19,0.44,1.82,12.7,4.33,6.9,2.92,-1.01,,847,-0.19,0.44,1.82,12.7,4.33,6.9,2.92,-1.01
30029,0.74,7.39,5.76,10.22,2.62,8.06,-0.4,0.13,,864,0.74,7.39,5.76,10.22,2.62,8.06,-0.4,0.13
30045,1.11,13.11,3.59,9.56,0.52,9.1,0.9,-0.48,,880,1.11,13.11,3.59,9.56,0.52,9.1,0.9,-0.48
30062,0.05,-3.11,1.65,8.48,0.26,10.23,0.45,1.74,,897,0.05,-3.11,1.65,8.48,0.26,10.23,0.45,1.74
30078,-0.46,-0.29,2.18,8.67,0.66,11.12,0.27,13.19,,913,-0.46,-0.29,2.18,8.67,0.66,11.12,0.27,13.19
30095,1.96,-0.42,3.43,7.67,0.61,10.58,-0.88,17.82,,930,1.96,-0.42,3.43,7.67,0.61,10.58,-0.88,17.82
30111,10.56,-0.98,1.85,3.6,2.26,6.46,-0.65,17.84,,946,10.56,-0.98,1.85,3.6,2.26,6.46,-0.65,17.84
30128,5.77,-0.09,-0.37,1.36,-0.69,1.62,0.6,17.8,,963,5.77,-0.09,-0.37,1.36,-0.69,1.62,0.6,17.8
30144,2.29,0.79,0.01,1.16,-0.47,0.24,-4.86,14.07,,979,2.29,0.79,0.01,1.16,-0.47,0.24,-4.86,14.07
30162,1.8,-3.55,-0.03,2.4,-0.03,0.14,0.84,3.33,,997,1.8,-3.55,-0.03,2.4,-0.03,0.14,0.84,3.33
30178,0.35,0.91,0.32,1.1,0.08,0.13,1.79,1.11,,1013,0.35,0.91,0.32,1.1,0.08,0.13,1.79,1.11
30194,2.04,5.97,1.34,-0.44,4.12,-0.59,5.96,1.14,,1029,2.04,5.97,1.34,-0.44,4.12,-0.59,5.96,1.14
30210,2.48,11.77,-0.14,0.48,5.71,-5.04,6.34,0.1,,1045,2.48,11.77,-0.14,0.48,5.71,-5.04,6.34,0.1
30226,0.32,7.99,-4.34,-0.27,0.25,0.19,3.29,1.55,,1061,0.32,7.99,-4.34,-0.27,0.25,0.19,3.29,1.55
30242,0.9,6.5,0.68,4.58,0.61,0.28,4.6,4.9,,1077,0.9,6.5,0.68,4.58,0.61,0.28,4.6,4.9
30258,3.46,5.25,0.54,11.12,-0.19,-0.7,3.56,7.05,,1093,3.46,5.25,0.54,11.12,-0.19,-0.7,3.56,7.05
30274,5.25,6.06,1.73,12.99,1.26,-0.39,5.19,8.38,,1109,5.25,6.06,1.73,12.99,1.26,-0.39,5.19,8.38
30290,5.74,6.29,1.2,1.12,1.26,-0.34,3.27,7.14,,1125,5.74,6.29,1.2,1.12,1.26,-0.34,3.27,7.14
30314,1.9,2.88,-0.96,-0.96,0.3,0.16,3.2,7.67,,1149,1.9,2.88,-0.96,-0.96,0.3,0.16,3.2,7.67
30330,2.83,2.42,0.65,-0.19,-0.03,5.19,3.98,9.21,,1165,2.83,2.42,0.65,-0.19,-0.03,5.19,3.98,9.21
30346,3.7,1.64,7.37,1.59,-3.09,17.79,4.01,9.9,,1181,3.7,1.64,7.37,1.59,-3.09,17.79,4.01,9.9
30362,2.96,0.66,12.01,13.48,-2.97,17.86,4.52,4.97,,1197,2.96,0.66,12.01,13.48,-2.97,17.86,4.52,4.97
30378,-0.96,-0.1,7.15,-0.8,-1.07,16.66,1.62,0.22,,1213,-0.96,-0.1,7.15,-0.8,-1.07,16.66,1.62,0.22
30394,-0.48,0.34,3.32,0.11,-2.38,11.88,0.51,0.6,,1229,-0.48,0.34,3.32,0.11,-2.38,11.88,0.51,0.6
30410,-0.19,0.32,-1.84,-0.78,-0.05,1.28,0.08,0.59,,1245,-0.19,0.32,-1.84,-0.78,-0.05,1.28,0.08,0.59
