,,,,,,,,,,Time-offsetted data,,,,,,,,,
Time, M1, M2, M4, M5, M6, M7, M8, M3, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
,,,,,,,,,,,,,,,,,,,
45189,1.87,8.39,-0.61,0.53,0.43,-0.01,2.08,3.64,3.64,,554,1.87,8.39,-0.61,0.53,0.43,-0.01,2.08,3.64
45205,2.14,8.06,1.04,-1.16,0.38,-0.41,5.63,4.92,4.92,,570,2.14,8.06,1.04,-1.16,0.38,-0.41,5.63,4.92
45221,2.45,7.84,-0.29,2.18,2.04,-0.09,6.73,7.57,7.57,,586,2.45,7.84,-0.29,2.18,2.04,-0.09,6.73,7.57
45237,5.56,7.33,2.31,15.3,1.71,0.64,3.11,6.89,6.89,,602,5.56,7.33,2.31,15.3,1.71,0.64,3.11,6.89
45253,3.45,3.48,-1.04,7.15,-1.44,-0.63,5.58,6.79,6.79,,618,3.45,3.48,-1.04,7.15,-1.44,-0.63,5.58,6.79
45270,2.51,1.05,-0.49,3.64,-0.19,-0.63,4.2,7.55,7.55,,635,2.51,1.05,-0.49,3.64,-0.19,-0.63,4.2,7.55
45286,2.44,0.9,0.3,1.56,0.66,5.83,4.45,8.88,8.88,,651,2.44,0.9,0.3,1.56,0.66,5.83,4.45,8.88
45302,3.99,1.68,2.22,-1.27,-0.87,15.93,3.02,10.03,10.03,,667,3.99,1.68,2.22,-1.27,-0.87,15.93,3.02,10.03
45318,3.68,1.58,10.92,-1.94,-0.96,15.97,0.35,4.88,4.88,,683,3.68,1.58,10.92,-1.94,-0.96,15.97,0.35,4.88
45334,-0.61,0.35,6.63,-1.45,-0.34,16.07,0.68,0.03,0.03,,699,-0.61,0.35,6.63,-1.45,-0.34,16.07,0.68,0.03
45350,-0.46,0.26,3.71,-1.42,-2.96,12.89,2.13,0.35,0.35,,715,-0.46,0.26,3.71,-1.42,-2.96,12.89,2.13,0.35
45367,-0.36,0.53,-2.2,-0.45,-0.5,1.38,3.18,-0.44,-0.44,,732,-0.36,0.53,-2.2,-0.45,-0.5,1.38,3.18,-0.44
45383,0.37,0.51,-0.47,1.29,0.82,0.33,4.21,0.98,0.98,,748,0.37,0.51,-0.47,1.29,0.82,0.33,4.21,0.98
45399,-0.27,1.76,2.08,7,2.92,-0.67,0.87,0.33,0.33,,764,-0.27,1.76,2.08,7,2.92,-0.67,0.87,0.33
45415,3.16,13.22,4.47,13.06,6.17,-1.67,0.53,-2.61,-2.61,,780,3.16,13.22,4.47,13.06,6.17,-1.67,0.53,-2.61
45433,-9.01,8.84,1.04,9.05,1.5,-0.65,0.26,0.79,0.79,,798,-9.01,8.84,1.04,9.05,1.5,-0.65,0.26,0.79
45449,0.63,2.27,-0.05,8.33,6.5,1.84,3.64,-0.3,-0.3,,814,0.63,2.27,-0.05,8.33,6.5,1.84,3.64,-0.3
45465,0.71,0.12,0.47,6.89,4.72,3.41,6.89,-0.05,-0.05,,830,0.71,0.12,0.47,6.89,4.72,3.41,6.89,-0.05
45481,-0.13,0.21,3.02,7.39,4.47,6.82,2.62,-0.41,-0.41,,846,-0.13,0.21,3.02,7.39,4.47,6.82,2.62,-0.41
45499,3.69,15.18,5.19,6.47,3.23,7.38,-0.71,-0.38,-0.38,,864,3.69,15.18,5.19,6.47,3.23,7.38,-0.71,-0.38
45515,-1.37,14.03,1.71,1.8,-0.92,6.83,0.14,0.09,0.09,,880,-1.37,14.03,1.71,1.8,-0.92,6.83,0.14,0.09
45531,0.3,-1.76,0.99,0.17,0.17,7.82,0.65,0.36,0.36,,896,0.3,-1.76,0.99,0.17,0.17,7.82,0.65,0.36
45547,0.35,-0.83,1.45,2.05,0.86,9.62,2.89,13.43,13.43,,912,0.35,-0.83,1.45,2.05,0.86,9.62,2.89,13.43
45565,2.42,-0.2,3.13,3.14,1.12,10.15,0.3,15.93,15.93,,930,2.42,-0.2,3.13,3.14,1.12,10.15,0.3,15.93
45581,11.7,-0.43,1.89,1.31,1.71,6.5,0.88,16.04,16.04,,946,11.7,-0.43,1.89,1.31,1.71,6.5,0.88,16.04
45597,6.98,-0.55,-0.05,0.38,-0.32,1.48,0.4,16.08,16.08,,962,6.98,-0.55,-0.05,0.38,-0.32,1.48,0.4,16.08
45613,4.8,0.36,0.16,0,-0.18,-0.34,1.49,11.12,11.12,,978,4.8,0.36,0.16,0,-0.18,-0.34,1.49,11.12
45631,2.11,-4.12,-0.23,0.01,-0.04,0.1,-0.51,0.52,0.52,,996,2.11,-4.12,-0.23,0.01,-0.04,0.1,-0.51,0.52
45647,0.8,1.08,0.26,0,0.37,-0.12,-0.6,0.37,0.37,,1012,0.8,1.08,0.26,0,0.37,-0.12,-0.6,0.37
45663,1.19,6.26,1.52,9.36,3.48,-0.55,0.36,0.2,0.2,,1028,1.19,6.26,1.52,9.36,3.48,-0.55,0.36,0.2
45679,4.32,13.39,0.05,12.98,6.98,-4.8,-4.64,-0.69,-0.69,,1044,4.32,13.39,0.05,12.98,6.98,-4.8,-4.64,-0.69
45695,2.3,12.06,-5.8,2.19,-2.87,1.37,1.2,0.23,0.23,,1060,2.3,12.06,-5.8,2.19,-2.87,1.37,1.2,0.23
45711,1.19,9.21,0,-0.21,0.3,0.9,0.95,3.54,3.54,,1076,1.19,9.21,0,-0.21,0.3,0.9,0.95,3.54
45727,2.03,7.4,0.62,-1.28,0.16,-0.04,6.31,4.68,4.68,,1092,2.03,7.4,0.62,-1.28,0.16,-0.04,6.31,4.68
45743,3.59,7.58,-0.49,0.97,2.53,0.14,6.87,6.32,6.32,,1108,3.59,7.58,-0.49,0.97,2.53,0.14,6.87,6.32
45759,6.12,8.1,2.64,13.01,1.52,0.36,2.86,6.83,6.83,,1124,6.12,8.1,2.64,13.01,1.52,0.36,2.86,6.83
45776,4.92,4.96,-0.23,3.17,-0.76,-0.37,4.97,7.14,7.14,,1141,4.92,4.96,-0.23,3.17,-0.76,-0.37,4.97,7.14
45792,2.3,2.82,-0.22,0.48,0.31,-0.1,3.03,7.04,7.04,,1157,2.3,2.82,-0.22,0.48,0.31,-0.1,3.03,7.04
45808,3.16,2.76,0.3,-0.53,-0.01,4.78,3.22,8.79,8.79,,1173,3.16,2.76,0.3,-0.53,-0.01,4.78,3.22,8.79
45824,3.84,2.05,7.66,0.56,-3.05,15.82,3.29,8.59,8.59,,1189,3.84,2.05,7.66,0.56,-3.05,15.82,3.29,8.59
45840,3.32,1.44,11.82,-1.79,-2.14,15.94,2.26,2.24,2.24,,1205,3.32,1.44,11.82,-1.79,-2.14,15.94,2.26,2.24
45856,-1.2,0.09,5.99,-1.75,0.29,16.06,2.2,0.23,0.23,,1221,-1.2,0.09,5.99,-1.75,0.29,16.06,2.2,0.23
45873,-0.41,0.37,1.99,-1.39,-2,11.66,2.72,-0.7,-0.7,,1238,-0.41,0.37,1.99,-1.39,-2,11.66,2.72,-0.7
45889,-0.61,0.61,-1.29,-0.77,-0.56,0.34,4.43,0.59,0.59,,1254,-0.61,0.61,-1.29,-0.77,-0.56,0.34,4.43,0.59
45905,0.42,0.51,-0.3,1.56,0.98,-0.56,4.31,1.08,1.08,,1270,0.42,0.51,-0.3,1.56,0.98,-0.56,4.31,1.08
45921,-0.5,1.34,2.28,6.54,3.1,-0.82,0.42,1.16,1.16,,1286,-0.5,1.34,2.28,6.54,3.1,-0.82,0.42,1.16
45937,4.39,13.4,4.8,12.71,6.34,-1.83,0.36,-3.25,-3.25,,1302,4.39,13.4,4.8,12.71,6.34,-1.83,0.36,-3.25
45955,1.33,10.28,0.97,7.01,4.36,-1.15,-0.15,0.78,0.78,,1320,1.33,10.28,0.97,7.01,4.36,-1.15,-0.15,0.78
45971,-1.86,3.99,-0.67,5.55,3.25,-0.79,3.07,-0.66,-0.66,,1336,-1.86,3.99,-0.67,5.55,3.25,-0.79,3.07,-0.66
45987,0.87,0.07,-0.12,4.4,2.92,1.6,6.97,0.23,0.23,,1352,0.87,0.07,-0.12,4.4,2.92,1.6,6.97,0.23
46003,3.7,1.33,1.57,4.62,4.15,4.93,3.01,-0.31,-0.31,,1368,3.7,1.33,1.57,4.62,4.15,4.93,3.01,-0.31
46021,-6.39,15.91,3.96,4.13,1.77,6.87,-0.41,1.77,1.77,,1386,-6.39,15.91,3.96,4.13,1.77,6.87,-0.41,1.77
46037,1.29,-4.88,5.71,3.37,1.93,9.48,-0.86,2.99,2.99,,1402,1.29,-4.88,5.71,3.37,1.93,9.48,-0.86,2.99
46053,-0.89,-0.42,5.77,1.83,1.88,10.97,1.17,2.43,2.43,,1418,-0.89,-0.42,5.77,1.83,1.88,10.97,1.17,2.43
46070,-0.31,0.64,6.18,2.12,2.26,10.21,1.99,10.8,10.8,,1435,-0.31,0.64,6.18,2.12,2.26,10.21,1.99,10.8
46087,9.91,-0.25,5.63,1.91,3.29,6.85,0.5,15.88,15.88,,1452,9.91,-0.25,5.63,1.91,3.29,6.85,0.5,15.88
46103,13.16,-2.17,-0.21,0.48,3.82,-0.17,0.97,16.09,16.09,,1468,13.16,-2.17,-0.21,0.48,3.82,-0.17,0.97,16.09
46119,4.99,-1.1,0.06,-0.07,-1.1,1.12,0.25,9.47,9.47,,1484,4.99,-1.1,0.06,-0.07,-1.1,1.12,0.25,9.47
46135,1.73,1.12,-0.25,-0.12,-0.2,0.46,-0.55,4.75,4.75,,1500,1.73,1.12,-0.25,-0.12,-0.2,0.46,-0.55,4.75
46153,1.03,-3.51,-0.12,0.04,0.33,0.17,-0.24,2.75,2.75,,1518,1.03,-3.51,-0.12,0.04,0.33,0.17,-0.24,2.75
46170,0.25,0.87,-0.08,-0.01,0.14,0.08,1.65,1.28,1.28,,1535,0.25,0.87,-0.08,-0.01,0.14,0.08,1.65,1.28
46186,2.11,7.24,-0.35,0,7.9,0.94,1.83,0.24,0.24,,1551,2.11,7.24,-0.35,0,7.9,0.94,1.83,0.24
46202,5.63,15.38,2.08,10.96,7.56,-5.85,-3.77,2.78,2.78,,1567,5.63,15.38,2.08,10.96,7.56,-5.85,-3.77,2.78
46218,1.1,12.19,-6.07,5.53,-3.97,2.03,0.34,2.15,2.15,,1583,1.1,12.19,-6.07,5.53,-3.97,2.03,0.34,2.15
46234,-0.08,11.09,-0.53,0.94,-0.25,0.87,0.21,3.35,3.35,,1599,-0.08,11.09,-0.53,0.94,-0.25,0.87,0.21,3.35
46250,1.8,9.41,1.15,-1.44,-0.44,-0.01,0.27,4.34,4.34,,1615,1.8,9.41,1.15,-1.44,-0.44,-0.01,0.27,4.34
46267,1.24,7.25,-0.46,0.07,2.54,0.04,7.11,6.7,6.7,,1632,1.24,7.25,-0.46,0.07,2.54,0.04,7.11,6.7
46283,4.31,5.41,3.12,14.11,1.85,0.54,3.27,7.37,7.37,,1648,4.31,5.41,3.12,14.11,1.85,0.54,3.27,7.37
46299,3.85,3.77,-0.81,8.23,-0.21,-0.22,4.35,7.05,7.05,,1664,3.85,3.77,-0.81,8.23,-0.21,-0.22,4.35,7.05
46315,2.42,1.39,-0.2,0.53,-0.06,-0.06,2.39,7.56,7.56,,1680,2.42,1.39,-0.2,0.53,-0.06,-0.06,2.39,7.56
46331,2.65,1.44,0.26,0.29,0.04,2.4,2.76,10.26,10.26,,1696,2.65,1.44,0.26,0.29,0.04,2.4,2.76,10.26
46347,3.97,2.01,11.62,-0.77,-1.03,15.81,2.79,9.83,9.83,,1712,3.97,2.01,11.62,-0.77,-1.03,15.81,2.79,9.83
46363,3.14,1.4,11.68,-3.1,-0.17,16.02,0.61,4.13,4.13,,1728,3.14,1.4,11.68,-3.1,-0.17,16.02,0.61,4.13
46380,-0.38,0.3,5.84,-2.24,0.89,16.12,1.2,0.73,0.73,,1745,-0.38,0.3,5.84,-2.24,0.89,16.12,1.2,0.73
46396,0.32,0.5,1.81,-0.82,-1.87,12.16,2.32,0,0,,1761,0.32,0.5,1.81,-0.82,-1.87,12.16,2.32,0
46412,-0.33,0.41,-0.76,-0.64,-0.62,0.62,4.32,-0.42,-0.42,,1777,-0.33,0.41,-0.76,-0.64,-0.62,0.62,4.32,-0.42
46428,0.34,0.39,-0.47,1.83,-0.62,0.06,3.76,1.28,1.28,,1793,0.34,0.39,-0.47,1.83,-0.62,0.06,3.76,1.28
46452,2.21,8.61,3.83,10.45,6.49,0.48,0.81,2.61,2.61,,1817,2.21,8.61,3.83,10.45,6.49,0.48,0.81,2.61
46468,2.85,14.25,3.3,10.57,6.64,-1.7,0.07,-3.87,-3.87,,1833,2.85,14.25,3.3,10.57,6.64,-1.7,0.07,-3.87
46485,-8.4,5.49,0.32,5.74,1.45,-0.41,-0.05,-0.15,-0.15,,1850,-8.4,5.49,0.32,5.74,1.45,-0.41,-0.05,-0.15
46501,-0.08,2.85,0.97,3.84,4.59,2.78,2.42,-0.65,-0.65,,1866,-0.08,2.85,0.97,3.84,4.59,2.78,2.42,-0.65
46517,0.15,0.19,2.43,3.31,3.47,5.03,7.8,-0.06,-0.06,,1882,0.15,0.19,2.43,3.31,3.47,5.03,7.8,-0.06
46534,4.28,2.55,5.52,4.58,5.38,8.29,3.2,-0.21,-0.21,,1899,4.28,2.55,5.52,4.58,5.38,8.29,3.2,-0.21
46551,3.4,15.12,6.16,3.36,3.41,7.25,-0.35,-0.21,-0.21,,1916,3.4,15.12,6.16,3.36,3.41,7.25,-0.35,-0.21
46567,-2.26,10.65,3.76,1.52,0.53,6.55,-0.1,-0.13,-0.13,,1932,-2.26,10.65,3.76,1.52,0.53,6.55,-0.1,-0.13
46584,0.55,1.56,1.27,1.67,1.53,7.39,1.58,2.25,2.25,,1949,0.55,1.56,1.27,1.67,1.53,7.39,1.58,2.25
46600,0.22,0.74,2.1,2.03,0.93,8.14,2.57,14.15,14.15,,1965,0.22,0.74,2.1,2.03,0.93,8.14,2.57,14.15
46617,2.52,0.37,4,2.18,0.82,7.83,-0.02,15.96,15.96,,1982,2.52,0.37,4,2.18,0.82,7.83,-0.02,15.96
46634,11.4,-0.17,1.82,1.22,1.63,4.85,1.08,16.06,16.06,,1999,11.4,-0.17,1.82,1.22,1.63,4.85,1.08,16.06
46650,6.7,-0.39,-1.05,-0.07,0.36,0.36,1.44,16.1,16.1,,2015,6.7,-0.39,-1.05,-0.07,0.36,0.36,1.44,16.1
46666,3.37,0.39,0.27,-0.09,0.13,0.06,1.24,13.65,13.65,,2031,3.37,0.39,0.27,-0.09,0.13,0.06,1.24,13.65
46683,2.24,-3.51,-0.1,-0.12,0.16,-0.01,-1.46,1.99,1.99,,2048,2.24,-3.51,-0.1,-0.12,0.16,-0.01,-1.46,1.99
46699,0.51,1.46,0.44,-0.03,0.45,-0.12,-1.16,0.94,0.94,,2064,0.51,1.46,0.44,-0.03,0.45,-0.12,-1.16,0.94
46716,1.94,6.33,1.04,9.3,4.47,-0.29,0.71,0.07,0.07,,2081,1.94,6.33,1.04,9.3,4.47,-0.29,0.71,0.07
46732,4.15,13.33,0.03,12.09,6.65,-5.14,-4.48,-0.41,-0.41,,2097,4.15,13.33,0.03,12.09,6.65,-5.14,-4.48,-0.41
46748,1.9,11.14,-5.69,0.37,-1.36,1.68,1.49,1.84,1.84,,2113,1.9,11.14,-5.69,0.37,-1.36,1.68,1.49,1.84
46764,0.77,8.89,0.5,-1.23,0.96,1.15,2.07,5.1,5.1,,2129,0.77,8.89,0.5,-1.23,0.96,1.15,2.07,5.1
46780,2.01,7.93,0.22,-0.95,0.21,0.33,5.42,6.22,6.22,,2145,2.01,7.93,0.22,-0.95,0.21,0.33,5.42,6.22
46796,3.57,8.82,-0.54,1.36,1.87,-0.11,4.99,7.37,7.37,,2161,3.57,8.82,-0.54,1.36,1.87,-0.11,4.99,7.37
46812,5.99,9.09,0.73,2.36,1.23,0.31,2.02,8.24,8.24,,2177,5.99,9.09,0.73,2.36,1.23,0.31,2.02,8.24
46828,4.97,6.83,-0.71,0.97,1.55,0.61,4.48,8.89,8.89,,2193,4.97,6.83,-0.71,0.97,1.55,0.61,4.48,8.89
46844,4.64,4.21,0.02,0.58,0.35,0.88,2.91,8.4,8.4,,2209,4.64,4.21,0.02,0.58,0.35,0.88,2.91,8.4
46860,4.61,3.01,-0.09,0.36,0.15,3.89,3.95,9.29,9.29,,2225,4.61,3.01,-0.09,0.36,0.15,3.89,3.95,9.29
46877,5.58,1.7,11.9,-1.65,-2.51,15.86,3.81,7.78,7.78,,2242,5.58,1.7,11.9,-1.65,-2.51,15.86,3.81,7.78
46893,5.58,-0.03,8.03,-2.65,1.64,15.44,4.49,0.46,0.46,,2258,5.58,-0.03,8.03,-2.65,1.64,15.44,4.49,0.46
46917,5.58,0.25,2.12,0.25,1.18,8.05,2.53,0.01,0.01,,2282,5.58,0.25,2.12,0.25,1.18,8.05,2.53,0.01
46941,5.58,0.38,3.63,-2.41,-4.18,2.56,2.82,0.46,0.46,,2306,5.58,0.38,3.63,-2.41,-4.18,2.56,2.82,0.46
46965,5.58,0.75,1.75,3.08,0.16,0.01,5.04,2.35,2.35,,2330,5.58,0.75,1.75,3.08,0.16,0.01,5.04,2.35
46989,5.58,8.45,6.17,9.86,6.68,1.69,3.11,-0.92,-0.92,,2354,5.58,8.45,6.17,9.86,6.68,1.69,3.11,-0.92
47013,5.58,7.32,1.48,6.49,2,-1.31,0.61,-0.16,-0.16,,2378,5.58,7.32,1.48,6.49,2,-1.31,0.61,-0.16
47037,0.24,0.43,-1.14,3.88,1.04,0.37,1.32,1.72,1.72,,2402,0.24,0.43,-1.14,3.88,1.04,0.37,1.32,1.72
47053,0.24,0.48,1.09,3.02,3.6,4.27,8.54,0.58,0.58,,2418,0.24,0.48,1.09,3.02,3.6,4.27,8.54,0.58
47069,0.24,0.12,2.1,4.52,6.11,7.93,6.86,-0.25,-0.25,,2434,0.24,0.12,2.1,4.52,6.11,7.93,6.86,-0.25
47085,0.24,1.65,5.31,5.64,5.64,10.33,-3.23,2.6,2.6,,2450,0.24,1.65,5.31,5.64,5.64,10.33,-3.23,2.6
47101,0.24,7.4,9.13,4.71,3.96,11.45,-0.15,0.17,0.17,,2466,0.24,7.4,9.13,4.71,3.96,11.45,-0.15,0.17
47117,0.17,2.85,7.07,1.85,0.94,9.32,0.25,-0.15,-0.15,,2482,0.17,2.85,7.07,1.85,0.94,9.32,0.25,-0.15
47133,1.54,0.33,4.57,-0.25,1.34,8.14,2.04,6.29,6.29,,2498,1.54,0.33,4.57,-0.25,1.34,8.14,2.04,6.29
47149,0.43,-0.16,3.36,1.2,2.55,6.28,4.62,15.95,15.95,,2514,0.43,-0.16,3.36,1.2,2.55,6.28,4.62,15.95
47165,2.46,-2.08,-0.07,0.5,4.18,1.33,-0.08,16.05,16.05,,2530,2.46,-2.08,-0.07,0.5,4.18,1.33,-0.08,16.05
47182,2.98,-1.51,0.73,-0.17,0.19,-0.32,0.34,11.46,11.46,,2547,2.98,-1.51,0.73,-0.17,0.19,-0.32,0.34,11.46
47198,-0.6,0.13,-0.09,0.01,0.2,-0.58,0.54,8.28,8.28,,2563,-0.6,0.13,-0.09,0.01,0.2,-0.58,0.54,8.28
47214,3.32,-5.22,-0.2,-0.04,0.33,-0.11,1.37,-0.87,-0.87,,2579,3.32,-5.22,-0.2,-0.04,0.33,-0.11,1.37,-0.87
47230,12.4,1.59,0.6,-0.12,0.88,-0.53,2.09,1.38,1.38,,2595,12.4,1.59,0.6,-0.12,0.88,-0.53,2.09,1.38
47246,7.12,4.96,1.75,6.11,7.05,1.08,2.05,2.18,2.18,,2611,7.12,4.96,1.75,6.11,7.05,1.08,2.05,2.18
47262,5.24,11.77,5.59,12.08,5.85,-5.96,-2.77,0.9,0.9,,2627,5.24,11.77,5.59,12.08,5.85,-5.96,-2.77,0.9
47278,4.31,8.76,-7.23,3,-1.56,1,1.18,0.78,0.78,,2643,4.31,8.76,-7.23,3,-1.56,1,1.18,0.78
47295,-0.23,6.78,-0.93,0.34,0.36,0.7,2.72,3.11,3.11,,2660,-0.23,6.78,-0.93,0.34,0.36,0.7,2.72,3.11
47311,0.63,5.7,1.72,-1.82,0.49,0.23,6.57,4.63,4.63,,2676,0.63,5.7,1.72,-1.82,0.49,0.23,6.57,4.63
47327,6.88,5.7,-0.64,1.13,2.34,0.07,6.81,7.7,7.7,,2692,6.88,5.7,-0.64,1.13,2.34,0.07,6.81,7.7
47343,3.66,6.57,2.27,14.21,1.58,0.65,3.25,7.11,7.11,,2708,3.66,6.57,2.27,14.21,1.58,0.65,3.25,7.11
47359,1.73,3.61,-0.83,7.48,-1.23,-0.09,5.08,7.42,7.42,,2724,1.73,3.61,-0.83,7.48,-1.23,-0.09,5.08,7.42
47375,2.47,1.31,-0.46,2.87,-0.08,0.27,3.45,8.35,8.35,,2740,2.47,1.31,-0.46,2.87,-0.08,0.27,3.45,8.35
47392,3.77,1.66,0.43,0.67,0.43,6.61,4.45,9.01,9.01,,2757,3.77,1.66,0.43,0.67,0.43,6.61,4.45,9.01
47408,6.77,1.23,1.38,-1.7,-2.2,15.97,4.34,8.78,8.78,,2773,6.77,1.23,1.38,-1.7,-2.2,15.97,4.34,8.78
47424,4.88,0.14,9.7,-1.88,-2.41,15.93,2.12,5.19,5.19,,2789,4.88,0.14,9.7,-1.88,-2.41,15.93,2.12,5.19
47440,3.02,0.48,4.78,-1.44,-0.28,15.89,2.01,-0.08,-0.08,,2805,3.02,0.48,4.78,-1.44,-0.28,15.89,2.01,-0.08
47456,3.65,0.66,2.98,-1.13,-2.35,14.93,2.87,0.06,0.06,,2821,3.65,0.66,2.98,-1.13,-2.35,14.93,2.87,0.06
47472,4.55,0.56,-1.69,-1.4,-1.73,6.02,2.27,0.34,0.34,,2837,4.55,0.56,-1.69,-1.4,-1.73,6.02,2.27,0.34
47489,4.02,0.57,-0.35,1.44,-0.08,2.15,3.19,1.53,1.53,,2854,4.02,0.57,-0.35,1.44,-0.08,2.15,3.19,1.53
47505,-0.84,0.57,4.83,10.79,4.37,0.87,0.96,-1.21,-1.21,,2870,-0.84,0.57,4.83,10.79,4.37,0.87,0.96,-1.21
47529,-0.24,13.12,3.6,11,3.68,-0.64,0.38,-2.15,-2.15,,2894,-0.24,13.12,3.6,11,3.68,-0.64,0.38,-2.15
47545,-0.64,4.83,-0.29,6.69,0.56,0.04,0.07,-0.25,-0.25,,2910,-0.64,4.83,-0.29,6.69,0.56,0.04,0.07,-0.25
