Walk1,,,,,,,,,,Time-offsetted data,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
56554,2.98,2.79,3.59,1.89,-0.26,-0.11,3.18,6.8,,0,2.98,2.79,3.59,1.89,-0.26,-0.11,3.18,6.8
56570,2.39,3.17,-1.99,-0.1,0.1,1.03,3.93,8.48,,16,2.39,3.17,-1.99,-0.1,0.1,1.03,3.93,8.48
56586,5.54,5.42,0.54,1.91,1.57,0.61,5.18,10.94,,32,5.54,5.42,0.54,1.91,1.57,0.61,5.18,10.94
56602,7.28,7.57,1.1,0.04,-1.08,-1.02,5.03,12.09,,48,7.28,7.57,1.1,0.04,-1.08,-1.02,5.03,12.09
56618,7.4,7.87,-0.48,0.17,1.45,-0.25,6.8,14.81,,64,7.4,7.87,-0.48,0.17,1.45,-0.25,6.8,14.81
56634,8.79,7.68,-0.67,0.83,1.51,0.61,4.44,14.06,,80,8.79,7.68,-0.67,0.83,1.51,0.61,4.44,14.06
56650,7.35,5.11,-0.5,-0.77,-1.49,-0.04,4.48,14.1,,96,7.35,5.11,-0.5,-0.77,-1.49,-0.04,4.48,14.1
56666,7.68,4.24,-0.05,-0.63,-0.41,0.37,3.78,13.55,,112,7.68,4.24,-0.05,-0.63,-0.41,0.37,3.78,13.55
56682,6.66,3.22,-0.31,-0.19,-0.56,2.37,3.8,12.45,,128,6.66,3.22,-0.31,-0.19,-0.56,2.37,3.8,12.45
56698,6.68,3.44,0.95,-0.78,-1.46,8.22,4.28,12.02,,144,6.68,3.44,0.95,-0.78,-1.46,8.22,4.28,12.02
56714,5.38,3.19,9.13,-1.36,0.48,9.7,6.07,9.4,,160,5.38,3.19,9.13,-1.36,0.48,9.7,6.07,9.4
56730,0.68,1.86,4.9,-1.36,0.39,5.23,4.21,4.38,,176,0.68,1.86,4.9,-1.36,0.39,5.23,4.21,4.38
56755,0.26,1.44,3.57,-1.53,-2.23,3.23,3.46,3.12,,201,0.26,1.44,3.57,-1.53,-2.23,3.23,3.46,3.12
56771,0.58,4.26,-0.24,-0.59,-0.03,-0.82,4.26,3.44,,217,0.58,4.26,-0.24,-0.59,-0.03,-0.82,4.26,3.44
56787,2.66,8.75,0.2,1.11,0.33,-0.58,5.07,5.78,,233,2.66,8.75,0.2,1.11,0.33,-0.58,5.07,5.78
56803,6.67,11.94,3.58,5.61,-0.5,-0.25,7.31,7.48,,249,6.67,11.94,3.58,5.61,-0.5,-0.25,7.31,7.48
56819,5.39,11.26,2.01,3.4,-0.57,-0.23,0.6,-3.73,,265,5.39,11.26,2.01,3.4,-0.57,-0.23,0.6,-3.73
56837,-4.54,-5.53,2.01,2.5,0.12,0.16,1.23,1.55,,283,-4.54,-5.53,2.01,2.5,0.12,0.16,1.23,1.55
56861,1.39,-0.33,3.05,5.83,8.79,7.54,0.78,1.02,,307,1.39,-0.33,3.05,5.83,8.79,7.54,0.78,1.02
56877,-0.38,0.21,5.94,8.75,7.23,11.25,5.88,1.02,,323,-0.38,0.21,5.94,8.75,7.23,11.25,5.88,1.02
56894,0.39,1.25,11.88,11.07,5.08,10.66,10.64,1.12,,340,0.39,1.25,11.88,11.07,5.08,10.66,10.64,1.12
56910,1.71,7.75,10.57,1.03,-2.63,6.36,-0.74,-0.22,,356,1.71,7.75,10.57,1.03,-2.63,6.36,-0.74,-0.22
56926,-0.86,-2.19,3.44,1.2,-0.71,5.47,0.13,-0.02,,372,-0.86,-2.19,3.44,1.2,-0.71,5.47,0.13,-0.02
56943,-0.15,-0.05,-1.09,-0.37,0.65,6.06,-0.24,5.78,,389,-0.15,-0.05,-1.09,-0.37,0.65,6.06,-0.24,5.78
