Hop1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hop1,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
57059,1.92,2.07,2.67,2.91,0.62,4.98,2.65,5.05,,719,1.92,2.07,2.67,2.91,0.62,4.98,2.65,5.05
57075,1.65,1.93,2.69,2.44,0.29,4.78,2.36,5.07,,735,1.65,1.93,2.69,2.44,0.29,4.78,2.36,5.07
57091,1.41,2.05,2.47,2.23,-0.06,4.86,2.37,4.79,,751,1.41,2.05,2.47,2.23,-0.06,4.86,2.37,4.79
57107,1.31,1.38,2.03,2.04,-0.41,4.56,1.98,4.93,,767,1.31,1.38,2.03,2.04,-0.41,4.56,1.98,4.93
57124,1.67,1.9,2.46,1.94,-0.24,4.9,1.94,4.84,,784,1.67,1.9,2.46,1.94,-0.24,4.9,1.94,4.84
57140,1.65,1.33,2.1,2.26,-0.02,4.91,2.01,4.63,,800,1.65,1.33,2.1,2.26,-0.02,4.91,2.01,4.63
57156,1.78,2.28,2.1,2.67,0.11,4.92,2.39,4.42,,816,1.78,2.28,2.1,2.67,0.11,4.92,2.39,4.42
57180,1.82,1.88,2.1,2.33,-0.89,4.65,2.19,4.45,,840,1.82,1.88,2.1,2.33,-0.89,4.65,2.19,4.45
57204,1.48,1.41,2.1,1.79,-0.78,4.38,1.77,3.83,,864,1.48,1.41,2.1,1.79,-0.78,4.38,1.77,3.83
57228,1.93,1.53,2.1,2.2,-0.89,4.74,2.08,3.93,,888,1.93,1.53,2.1,2.2,-0.89,4.74,2.08,3.93
57252,1.64,1.91,2.1,2.56,-0.9,4.39,1.96,4.42,,912,1.64,1.91,2.1,2.56,-0.9,4.39,1.96,4.42
57276,1.28,1.88,2.1,2.34,-0.92,4.6,2.17,4.43,,936,1.28,1.88,2.1,2.34,-0.92,4.6,2.17,4.43
57300,0.79,1.17,2.1,1.87,-1.49,4.52,1.15,3.8,,960,0.79,1.17,2.1,1.87,-1.49,4.52,1.15,3.8
57324,1.21,1.14,2.1,2.1,-0.96,4.38,1.15,3.8,,984,1.21,1.14,2.1,2.1,-0.96,4.38,1.15,3.8
57348,1.38,1.55,2.1,1.86,-0.91,4.63,1.58,3.97,,1008,1.38,1.55,2.1,1.86,-0.91,4.63,1.58,3.97
57372,1.34,1.29,1.77,1.87,-0.89,4.26,1.48,3.96,,1032,1.34,1.29,1.77,1.87,-0.89,4.26,1.48,3.96
57389,0.88,0.71,1.77,1.45,-1.46,4.35,1.11,3.49,,1049,0.88,0.71,1.77,1.45,-1.46,4.35,1.11,3.49
57405,1.37,0.52,1.77,1.97,-1.34,4.57,0.99,3.12,,1065,1.37,0.52,1.77,1.97,-1.34,4.57,0.99,3.12
57421,1.45,0.19,1.77,1.89,-1.38,4.83,0.79,3.1,,1081,1.45,0.19,1.77,1.89,-1.38,4.83,0.79,3.1
57438,1.24,0.67,1.58,1.28,-1.54,4.53,1.37,2.99,,1098,1.24,0.67,1.58,1.28,-1.54,4.53,1.37,2.99
57454,0.84,0.58,1.61,1.08,-1.24,4.27,1.57,3.2,,1114,0.84,0.58,1.61,1.08,-1.24,4.27,1.57,3.2
57470,0.84,0.7,1.46,1.46,-1.39,4.26,1.18,2.87,,1130,0.84,0.7,1.46,1.46,-1.39,4.26,1.18,2.87
57486,0.95,0.41,2.02,1.3,-1.74,4.03,1.04,2.7,,1146,0.95,0.41,2.02,1.3,-1.74,4.03,1.04,2.7
57502,0.72,0.36,1.83,1.4,-1.49,3.97,0.5,2.36,,1162,0.72,0.36,1.83,1.4,-1.49,3.97,0.5,2.36
57518,1.04,0.28,1.76,1.51,-1.99,4.05,0.44,2.38,,1178,1.04,0.28,1.76,1.51,-1.99,4.05,0.44,2.38
57535,0.66,0.64,1.31,1.69,-1.8,3.98,1,2.34,,1195,0.66,0.64,1.31,1.69,-1.8,3.98,1,2.34
57551,0.61,0.75,0.64,1.45,-1.69,3.94,1,3,,1211,0.61,0.75,0.64,1.45,-1.69,3.94,1,3
57567,0.2,0.7,0.73,1.88,-1.18,3.51,0.89,2.47,,1227,0.2,0.7,0.73,1.88,-1.18,3.51,0.89,2.47
57583,-0.02,0.5,0.8,1.6,-1.52,3.48,0.47,2.43,,1243,-0.02,0.5,0.8,1.6,-1.52,3.48,0.47,2.43
57599,0.4,0.18,0.71,1.91,-1.33,3.31,0.42,2.04,,1259,0.4,0.18,0.71,1.91,-1.33,3.31,0.42,2.04
57615,0.32,0.36,0.81,1.68,-1.56,3.13,0.35,1.93,,1275,0.32,0.36,0.81,1.68,-1.56,3.13,0.35,1.93
57632,0.49,0.35,0.33,2.26,-1.57,3.64,0.89,2,,1292,0.49,0.35,0.33,2.26,-1.57,3.64,0.89,2
57648,0.1,0.73,0.4,1.76,-1.27,3.44,1.28,1.64,,1308,0.1,0.73,0.4,1.76,-1.27,3.44,1.28,1.64
57664,0.24,0.18,0.07,1.64,-1.55,3.44,1.3,2.22,,1324,0.24,0.18,0.07,1.64,-1.55,3.44,1.3,2.22
57680,0.36,0.3,0.5,1.65,-1.48,3.41,0.78,2.14,,1340,0.36,0.3,0.5,1.65,-1.48,3.41,0.78,2.14
57696,0.83,0.4,0.33,1.56,-1.89,3.28,0.93,2.66,,1356,0.83,0.4,0.33,1.56,-1.89,3.28,0.93,2.66
57712,0.17,0.05,0.47,2,-1.96,3.57,0.96,2.51,,1372,0.17,0.05,0.47,2,-1.96,3.57,0.96,2.51
57729,-0.18,-0.16,0.78,2.02,-2.02,3.17,0.91,2.09,,1389,-0.18,-0.16,0.78,2.02,-2.02,3.17,0.91,2.09
57745,0.18,-0.24,1,1.71,-2.07,3.6,0.49,2.29,,1405,0.18,-0.24,1,1.71,-2.07,3.6,0.49,2.29
