Hop4,,,,,,,,,,,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
25560,2.96,2.6,3.46,2.67,1.94,5.32,1.87,8.98,,0,2.96,2.6,3.46,2.67,1.94,5.32,1.87,8.98
25577,2.96,2.62,3.17,2.67,1.93,5.37,1.68,8.92,,17,2.96,2.62,3.17,2.67,1.93,5.37,1.68,8.92
25593,2.96,2.71,3.14,2.68,1.94,5.4,1.91,8.96,,33,2.96,2.71,3.14,2.68,1.94,5.4,1.91,8.96
25609,2.95,2.62,3.47,2.67,1.95,5.24,1.86,8.9,,49,2.95,2.62,3.47,2.67,1.95,5.24,1.86,8.9
25626,2.94,2.61,3.43,2.65,1.89,5.2,1.84,9.09,,66,2.94,2.61,3.43,2.65,1.89,5.2,1.84,9.09
25642,2.94,2.57,3.39,2.83,1.93,5.23,1.81,8.86,,82,2.94,2.57,3.39,2.83,1.93,5.23,1.81,8.86
25658,2.9,2.75,3.35,2.76,2.08,5.2,1.95,8.8,,98,2.9,2.75,3.35,2.76,2.08,5.2,1.95,8.8
25674,2.86,2.67,3.29,2.7,1.97,5.35,1.65,9.02,,114,2.86,2.67,3.29,2.7,1.97,5.35,1.65,9.02
25690,2.95,2.56,3.19,2.61,1.97,5.22,1.74,9.06,,130,2.95,2.56,3.19,2.61,1.97,5.22,1.74,9.06
25714,2.82,2.6,3.25,2.5,1.93,5.26,1.77,8.64,,154,2.82,2.6,3.25,2.5,1.93,5.26,1.77,8.64
25730,2.95,2.64,3.17,2.52,2.02,5.11,1.82,8.77,,170,2.95,2.64,3.17,2.52,2.02,5.11,1.82,8.77
25746,2.77,2.6,3.17,2.63,1.88,5.11,1.68,9.05,,186,2.77,2.6,3.17,2.63,1.88,5.11,1.68,9.05
25762,2.77,2.56,3.11,2.51,1.88,5.09,1.71,8.72,,202,2.77,2.56,3.11,2.51,1.88,5.09,1.71,8.72
25778,2.71,2.51,3.28,2.6,1.83,5.06,1.67,8.67,,218,2.71,2.51,3.28,2.6,1.83,5.06,1.67,8.67
25794,2.99,2.38,3.34,2.46,1.98,5.02,1.57,8.59,,234,2.99,2.38,3.34,2.46,1.98,5.02,1.57,8.59
25810,2.63,2.31,3.21,2.49,2.02,4.9,1.69,8.64,,250,2.63,2.31,3.21,2.49,2.02,4.9,1.69,8.64
25826,2.72,2.42,3.15,2.52,2.09,4.98,1.7,8.86,,266,2.72,2.42,3.15,2.52,2.09,4.98,1.7,8.86
25842,3.03,2.13,3.19,2.33,2.15,4.87,1.5,8.67,,282,3.03,2.13,3.19,2.33,2.15,4.87,1.5,8.67
25859,2.8,2.08,2.89,2.21,2.21,5.26,1.7,8.59,,299,2.8,2.08,2.89,2.21,2.21,5.26,1.7,8.59
25875,2.77,2.06,3.06,2.24,2.09,5.25,1.56,8.53,,315,2.77,2.06,3.06,2.24,2.09,5.25,1.56,8.53
25891,2.79,2,3.09,2.76,2.13,5.22,1.58,8.25,,331,2.79,2,3.09,2.76,2.13,5.22,1.58,8.25
25907,2.95,2.12,2.81,2.74,1.91,4.97,1.31,8.23,,347,2.95,2.12,2.81,2.74,1.91,4.97,1.31,8.23
25923,2.8,1.88,2.72,2.73,2.08,4.87,1.16,8.09,,363,2.8,1.88,2.72,2.73,2.08,4.87,1.16,8.09
25939,2.98,1.76,2.82,2.57,2.17,4.92,0.89,8.69,,379,2.98,1.76,2.82,2.57,2.17,4.92,0.89,8.69
25955,3.14,1.96,2.91,2.75,1.97,5.43,0.9,8.69,,395,3.14,1.96,2.91,2.75,1.97,5.43,0.9,8.69
25972,3.26,2.21,2.96,2.84,1.68,5.27,0.63,8.81,,412,3.26,2.21,2.96,2.84,1.68,5.27,0.63,8.81
25988,3.12,2.23,3,2.56,1.63,5.25,0.46,8.65,,428,3.12,2.23,3,2.56,1.63,5.25,0.46,8.65
26004,2.9,2.07,2.98,2.41,1.65,5.28,0.31,8.86,,444,2.9,2.07,2.98,2.41,1.65,5.28,0.31,8.86
26020,2.71,2.1,3.12,2.19,1.58,5.19,0.3,8.88,,460,2.71,2.1,3.12,2.19,1.58,5.19,0.3,8.88
26036,2.43,2.29,2.99,1.91,1.8,4.71,0.5,8.7,,476,2.43,2.29,2.99,1.91,1.8,4.71,0.5,8.7
26052,2.43,2.23,2.9,2.29,2.04,4.75,0.51,8.79,,492,2.43,2.23,2.9,2.29,2.04,4.75,0.51,8.79
26069,2.56,1.99,2.79,1.93,2.13,4.42,0.71,8.57,,509,2.56,1.99,2.79,1.93,2.13,4.42,0.71,8.57
26085,2,1.99,2.52,2.2,1.81,4.56,0.96,8.41,,525,2,1.99,2.52,2.2,1.81,4.56,0.96,8.41
26101,2.02,2.22,2.44,2.55,1.76,4.15,0.64,7.98,,541,2.02,2.22,2.44,2.55,1.76,4.15,0.64,7.98
26117,2.36,1.86,2.55,2.56,1.79,3.87,0.69,8.19,,557,2.36,1.86,2.55,2.56,1.79,3.87,0.69,8.19
26133,2.27,2.97,2.68,3.14,1.88,4.19,0.44,7.91,,573,2.27,2.97,2.68,3.14,1.88,4.19,0.44,7.91
26149,2.08,2.56,2.48,2.67,1.53,4.2,0.44,8.02,,589,2.08,2.56,2.48,2.67,1.53,4.2,0.44,8.02
26166,1.95,3,2.87,2.49,1.66,3.94,0,7.82,,606,1.95,3,2.87,2.49,1.66,3.94,0,7.82
26182,1.72,2.94,2.5,2.6,1.88,4.06,0.37,8.13,,622,1.72,2.94,2.5,2.6,1.88,4.06,0.37,8.13
26198,1.67,2.37,2.48,2.46,2.08,3.87,0.63,7.65,,638,1.67,2.37,2.48,2.46,2.08,3.87,0.63,7.65
26214,1.79,2.29,2.17,2.21,1.99,4.18,0.3,7.94,,654,1.79,2.29,2.17,2.21,1.99,4.18,0.3,7.94
26230,1.99,2.22,2.05,2.4,1.82,3.82,0.45,7.99,,670,1.99,2.22,2.05,2.4,1.82,3.82,0.45,7.99
26246,1.82,1.96,2.08,2.36,1.77,4.49,0.2,8.08,,686,1.82,1.96,2.08,2.36,1.77,4.49,0.2,8.08
26263,1.6,2.52,2.25,3.02,1.12,4.17,0,8.33,,703,1.6,2.52,2.25,3.02,1.12,4.17,0,8.33
26279,1.49,2.27,2.09,2.59,0.98,4.21,-0.19,7.94,,719,1.49,2.27,2.09,2.59,0.98,4.21,-0.19,7.94
26295,1.48,2.76,2.42,2.9,0.95,3.52,0.11,8.3,,735,1.48,2.76,2.42,2.9,0.95,3.52,0.11,8.3
26311,1.07,2.25,2.1,2.33,0.95,3.56,0.16,8.01,,751,1.07,2.25,2.1,2.33,0.95,3.56,0.16,8.01
26327,1.3,2.27,1.95,3.21,1.13,3.86,0.07,7.59,,767,1.3,2.27,1.95,3.21,1.13,3.86,0.07,7.59
26343,1.36,1.9,1.64,2.52,1.06,3.43,-0.13,7.4,,783,1.36,1.9,1.64,2.52,1.06,3.43,-0.13,7.4
26359,1.5,2.38,1.66,2.81,0.95,4.27,-0.49,7.26,,799,1.5,2.38,1.66,2.81,0.95,4.27,-0.49,7.26
26376,1.72,2.21,1.9,2.65,0.89,3.79,-0.73,7.21,,816,1.72,2.21,1.9,2.65,0.89,3.79,-0.73,7.21
26392,1.55,2.64,1.93,2.75,0.72,3.86,-0.92,6.93,,832,1.55,2.64,1.93,2.75,0.72,3.86,-0.92,6.93
26408,1.51,2.1,1.86,2.25,0.28,3.82,-0.71,6.94,,848,1.51,2.1,1.86,2.25,0.28,3.82,-0.71,6.94
26424,1.17,1.77,1.53,2.51,0.69,4.08,-0.41,6.8,,864,1.17,1.77,1.53,2.51,0.69,4.08,-0.41,6.8
26440,1.67,1.82,1.4,2.67,0.51,3.37,-0.12,7.15,,880,1.67,1.82,1.4,2.67,0.51,3.37,-0.12,7.15
26456,1.26,2.25,1.52,2.95,0.57,3.99,-0.5,6.85,,896,1.26,2.25,1.52,2.95,0.57,3.99,-0.5,6.85
26473,1.56,2.17,1.44,2.45,0.22,3.84,-0.9,7.5,,913,1.56,2.17,1.44,2.45,0.22,3.84,-0.9,7.5
26489,1.27,2.68,1.88,2.67,0.47,3.5,-1.01,6.99,,929,1.27,2.68,1.88,2.67,0.47,3.5,-1.01,6.99
26505,1.05,1.83,1.63,1.71,0,3.48,-1.05,7.14,,945,1.05,1.83,1.63,1.71,0,3.48,-1.05,7.14
26521,0.84,1.53,0.99,2.18,0.49,3.43,-0.74,6.87,,961,0.84,1.53,0.99,2.18,0.49,3.43,-0.74,6.87
26537,1.26,1.23,0.96,2.37,0.62,3.36,-0.64,6.91,,977,1.26,1.23,0.96,2.37,0.62,3.36,-0.64,6.91
