Hop3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
34478,2.01,3.43,3.89,2.47,1.49,5.38,1.94,8.74,,0,2.01,3.43,3.89,2.47,1.49,5.38,1.94,8.74
34495,1.82,3.09,3.88,2.45,1.23,5.38,1.82,8.9,,17,1.82,3.09,3.88,2.45,1.23,5.38,1.82,8.9
34511,1.79,3.12,3.87,2.27,1.41,5.28,1.99,8.85,,33,1.79,3.12,3.87,2.27,1.41,5.28,1.99,8.85
34528,1.79,3.41,3.82,2.28,1.38,5.49,2,8.84,,50,1.79,3.41,3.82,2.28,1.38,5.49,2,8.84
34544,1.78,3.3,3.84,2.3,1.36,5.44,1.88,8.77,,66,1.78,3.3,3.84,2.3,1.36,5.44,1.88,8.77
34560,1.73,3.25,4.01,2.44,1.34,5.41,1.86,8.93,,82,1.73,3.25,4.01,2.44,1.34,5.41,1.86,8.93
34576,1.67,3.49,3.75,2.38,1.3,5.38,1.81,8.88,,98,1.67,3.49,3.75,2.38,1.3,5.38,1.81,8.88
34592,1.69,3.16,3.93,2.34,1.1,5.34,1.97,8.78,,114,1.69,3.16,3.93,2.34,1.1,5.34,1.97,8.78
34608,1.65,2.93,3.86,2.52,1.3,5.25,1.64,8.84,,130,1.65,2.93,3.86,2.52,1.3,5.25,1.64,8.84
34624,1.47,3.12,3.75,2.32,1.19,5.44,1.94,8.79,,146,1.47,3.12,3.75,2.32,1.19,5.44,1.94,8.79
34640,1.79,3.22,3.75,2.37,1.25,5.24,1.79,8.88,,162,1.79,3.22,3.75,2.37,1.25,5.24,1.79,8.88
34656,1.83,3.06,3.77,2.08,1.08,5.11,1.8,8.86,,178,1.83,3.06,3.77,2.08,1.08,5.11,1.8,8.86
34672,1.78,3.06,3.78,2.33,1.3,5.13,1.76,8.67,,194,1.78,3.06,3.78,2.33,1.3,5.13,1.76,8.67
34689,1.73,3.13,3.88,2.3,1.26,5.07,1.76,8.9,,211,1.73,3.13,3.88,2.3,1.26,5.07,1.76,8.9
34705,1.68,2.9,3.84,2.17,1.43,5.17,1.61,8.83,,227,1.68,2.9,3.84,2.17,1.43,5.17,1.61,8.83
34721,1.6,2.73,3.44,2.32,1.37,5.44,1.78,8.6,,243,1.6,2.73,3.44,2.32,1.37,5.44,1.78,8.6
34737,1.61,2.85,3.43,2.24,1.38,5.7,1.89,8.92,,259,1.61,2.85,3.43,2.24,1.38,5.7,1.89,8.92
34753,1.71,2.71,3.42,2.24,1.5,5.39,1.58,8.29,,275,1.71,2.71,3.42,2.24,1.5,5.39,1.58,8.29
34777,1.54,2.65,3.54,1.92,1.43,5.39,1.54,8.56,,299,1.54,2.65,3.54,1.92,1.43,5.39,1.54,8.56
34793,1.37,2.77,3.11,1.82,1.45,5.25,1.49,8.42,,315,1.37,2.77,3.11,1.82,1.45,5.25,1.49,8.42
34809,1.33,2.75,3.3,1.95,1.37,5.08,1.19,8.2,,331,1.33,2.75,3.3,1.95,1.37,5.08,1.19,8.2
34825,1.62,2.43,3.16,1.89,1.45,5.01,1.11,8.23,,347,1.62,2.43,3.16,1.89,1.45,5.01,1.11,8.23
34841,1.42,2.37,3.3,1.88,1.44,5.24,1.08,8.42,,363,1.42,2.37,3.3,1.88,1.44,5.24,1.08,8.42
34857,1.49,2.41,3.17,1.78,1.62,5.48,1,8.88,,379,1.49,2.41,3.17,1.78,1.62,5.48,1,8.88
34873,1.67,2.54,3.4,1.44,1.31,5.27,0.76,8.61,,395,1.67,2.54,3.4,1.44,1.31,5.27,0.76,8.61
34890,1.82,2.8,3.71,1.83,1.13,5.05,0.52,8.67,,412,1.82,2.8,3.71,1.83,1.13,5.05,0.52,8.67
34906,1.7,2.72,3.36,2.12,1.13,5.22,0.53,8.73,,428,1.7,2.72,3.36,2.12,1.13,5.22,0.53,8.73
34922,1.73,2.64,3.34,1.91,1.29,5.33,0.63,8.71,,444,1.73,2.64,3.34,1.91,1.29,5.33,0.63,8.71
34938,1.8,3.23,3.49,1.94,0.89,5.01,0.62,8.65,,460,1.8,3.23,3.49,1.94,0.89,5.01,0.62,8.65
34954,1.63,2.91,3.44,2.38,0.97,4.52,0.54,8.35,,476,1.63,2.91,3.44,2.38,0.97,4.52,0.54,8.35
34970,1.31,2.89,3.28,2.06,1.17,4.65,0.5,8.34,,492,1.31,2.89,3.28,2.06,1.17,4.65,0.5,8.34
34987,1.06,3.28,3.04,1.57,1.3,4.64,0.82,8.34,,509,1.06,3.28,3.04,1.57,1.3,4.64,0.82,8.34
35003,0.77,2.89,2.95,1.64,1.3,4.32,0.63,8.23,,525,0.77,2.89,2.95,1.64,1.3,4.32,0.63,8.23
35019,1.12,2.72,2.9,1.52,1.11,4.25,0.51,8.01,,541,1.12,2.72,2.9,1.52,1.11,4.25,0.51,8.01
35035,0.95,3.12,2.72,1.12,1.34,4.71,0.6,7.77,,557,0.95,3.12,2.72,1.12,1.34,4.71,0.6,7.77
35051,0.71,3.24,3.06,1.29,1.19,4.37,0.42,7.95,,573,0.71,3.24,3.06,1.29,1.19,4.37,0.42,7.95
35067,0.84,3.26,3.01,1.53,0.98,4.23,0.33,7.78,,589,0.84,3.26,3.01,1.53,0.98,4.23,0.33,7.78
35084,1.04,3.6,3.06,1.68,1.21,4.34,0.87,7.95,,606,1.04,3.6,3.06,1.68,1.21,4.34,0.87,7.95
35100,0.75,3.09,3.13,2.36,1.07,3.84,0.7,7.69,,622,0.75,3.09,3.13,2.36,1.07,3.84,0.7,7.69
35116,0.63,3.34,2.98,1.65,0.93,3.79,0.66,8.1,,638,0.63,3.34,2.98,1.65,0.93,3.79,0.66,8.1
35132,0.26,3,2.52,1.78,1.39,4.02,0.79,7.56,,654,0.26,3,2.52,1.78,1.39,4.02,0.79,7.56
35148,0.26,3.21,2.27,1.98,1.41,4.06,0.5,7.96,,670,0.26,3.21,2.27,1.98,1.41,4.06,0.5,7.96
35164,0.09,3.37,2.36,1.5,1.46,4.57,0.31,8.06,,686,0.09,3.37,2.36,1.5,1.46,4.57,0.31,8.06
35180,-0.01,2.87,2.65,1.76,0.93,4.25,0.03,8.32,,702,-0.01,2.87,2.65,1.76,0.93,4.25,0.03,8.32
35197,0.44,3.07,2.95,1.86,0.93,4.23,0.33,8.35,,719,0.44,3.07,2.95,1.86,0.93,4.23,0.33,8.35
35221,0.33,2.68,2.56,2.34,0.15,3.83,0.37,8.03,,743,0.33,2.68,2.56,2.34,0.15,3.83,0.37,8.03
35237,0.21,3.09,2.43,1.86,0.36,4.16,0.28,7.39,,759,0.21,3.09,2.43,1.86,0.36,4.16,0.28,7.39
35253,-0.18,2.7,2,1.74,0.65,3.84,0.09,7.41,,775,-0.18,2.7,2,1.74,0.65,3.84,0.09,7.41
