Hop3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
35269,-0.03,3.27,2,1.49,0.68,3.97,-0.18,7.35,,791,-0.03,3.27,2,1.49,0.68,3.97,-0.18,7.35
35285,-0.01,3.15,2.22,1.98,0.36,3.73,-0.41,7.03,,807,-0.01,3.15,2.22,1.98,0.36,3.73,-0.41,7.03
35301,0.03,3.4,2.65,1.63,0.06,4.01,-0.56,7.43,,823,0.03,3.4,2.65,1.63,0.06,4.01,-0.56,7.43
35317,0.27,3.02,2.44,2.14,-0.3,3.74,-0.59,6.74,,839,0.27,3.02,2.44,2.14,-0.3,3.74,-0.59,6.74
35333,0.05,2.96,2.38,1.39,-0.38,4.08,-0.51,7.24,,855,0.05,2.96,2.38,1.39,-0.38,4.08,-0.51,7.24
35349,0.13,2.47,1.85,1.72,-0.04,3.95,-0.2,6.75,,871,0.13,2.47,1.85,1.72,-0.04,3.95,-0.2,6.75
35365,-0.05,3.25,1.82,1.39,0.14,4.06,-0.45,7.34,,887,-0.05,3.25,1.82,1.39,0.14,4.06,-0.45,7.34
35381,-0.4,3.05,1.91,1.71,-0.01,4.06,-0.46,7.06,,903,-0.4,3.05,1.91,1.71,-0.01,4.06,-0.46,7.06
35398,-0.24,3.21,2.07,1.57,-0.23,4.12,-0.92,7.3,,920,-0.24,3.21,2.07,1.57,-0.23,4.12,-0.92,7.3
35414,0,2.57,2.07,2.05,-0.3,3.36,-0.44,6.59,,936,0,2.57,2.07,2.05,-0.3,3.36,-0.44,6.59
35430,0.04,2.88,1.72,1.39,-0.59,3.44,-0.61,6.98,,952,0.04,2.88,1.72,1.39,-0.59,3.44,-0.61,6.98
35446,-0.51,2.36,0.95,1.27,0.07,3.62,-0.74,6.66,,968,-0.51,2.36,0.95,1.27,0.07,3.62,-0.74,6.66
35462,-0.53,2.88,0.94,1.01,-0.05,3.63,-0.87,6.88,,984,-0.53,2.88,0.94,1.01,-0.05,3.63,-0.87,6.88
35478,-0.68,2.42,1.32,1.37,0.18,3.52,-1.11,6.48,,1000,-0.68,2.42,1.32,1.37,0.18,3.52,-1.11,6.48
35495,-0.49,2.46,1.69,1.77,-0.35,3.62,-1.54,6.53,,1017,-0.49,2.46,1.69,1.77,-0.35,3.62,-1.54,6.53
35512,-0.38,2.23,1.52,1.19,-0.43,3.3,-1.73,5.97,,1034,-0.38,2.23,1.52,1.19,-0.43,3.3,-1.73,5.97
35528,-0.78,1.71,1.34,1.12,-0.66,3.45,-1.21,6.66,,1050,-0.78,1.71,1.34,1.12,-0.66,3.45,-1.21,6.66
35544,-0.52,1.58,1.2,0.9,-0.15,3.53,-1.17,5.6,,1066,-0.52,1.58,1.2,0.9,-0.15,3.53,-1.17,5.6
35561,-0.43,2.14,1.1,0.96,-0.24,3.55,-1.48,5.84,,1083,-0.43,2.14,1.1,0.96,-0.24,3.55,-1.48,5.84
35577,-0.43,1.9,1.35,0.89,-0.46,3.4,-1.84,5.39,,1099,-0.43,1.9,1.35,0.89,-0.46,3.4,-1.84,5.39
35593,-0.4,1.75,1.38,0.82,-0.86,3.01,-2.18,5.31,,1115,-0.4,1.75,1.38,0.82,-0.86,3.01,-2.18,5.31
35609,-0.17,1.39,1.29,0.4,-0.66,2.77,-2.08,4.89,,1131,-0.17,1.39,1.29,0.4,-0.66,2.77,-2.08,4.89
35625,0.01,1.77,1.54,0.6,0.04,2.67,-1.25,5.55,,1147,0.01,1.77,1.54,0.6,0.04,2.67,-1.25,5.55
35641,-0.54,1.37,0.35,0.25,-0.03,2.47,-1.61,5.16,,1163,-0.54,1.37,0.35,0.25,-0.03,2.47,-1.61,5.16
35657,-0.36,1.18,0.01,0.38,0.47,2.74,-1.76,5.22,,1179,-0.36,1.18,0.01,0.38,0.47,2.74,-1.76,5.22
35673,-0.25,1.67,1.39,0.82,-0.14,2.52,-2.1,5.13,,1195,-0.25,1.67,1.39,0.82,-0.14,2.52,-2.1,5.13
35690,-0.14,2.05,0.6,1.06,0.42,2.76,-1.81,4.92,,1212,-0.14,2.05,0.6,1.06,0.42,2.76,-1.81,4.92
35706,-0.59,1.29,1.09,0.81,-0.1,2.2,-1.92,4.87,,1228,-0.59,1.29,1.09,0.81,-0.1,2.2,-1.92,4.87
35722,-0.91,1.57,0.65,0.97,0.14,2.02,-1.77,4.79,,1244,-0.91,1.57,0.65,0.97,0.14,2.02,-1.77,4.79
35738,-0.97,1.54,0.13,0.43,0.22,1.95,-1.65,4.86,,1260,-0.97,1.54,0.13,0.43,0.22,1.95,-1.65,4.86
35754,-1.36,1.13,0.41,0.85,0.29,1.94,-1.53,5.55,,1276,-1.36,1.13,0.41,0.85,0.29,1.94,-1.53,5.55
35770,-1.02,1.68,0.77,1.05,-0.12,2.39,-1.96,5.33,,1292,-1.02,1.68,0.77,1.05,-0.12,2.39,-1.96,5.33
35786,-0.56,1.49,0.39,0.8,-0.06,2.2,-1.7,4.92,,1308,-0.56,1.49,0.39,0.8,-0.06,2.2,-1.7,4.92
35803,-1.03,1.37,0.83,1.38,-0.67,1.93,-1.97,5.08,,1325,-1.03,1.37,0.83,1.38,-0.67,1.93,-1.97,5.08
35819,-0.32,1.14,0.76,1.1,-0.26,1.94,-1.85,5,,1341,-0.32,1.14,0.76,1.1,-0.26,1.94,-1.85,5
35835,-0.8,1.39,0.44,0.76,0.2,1.35,-1.84,4.08,,1357,-0.8,1.39,0.44,0.76,0.2,1.35,-1.84,4.08
35851,-0.91,0.92,0,0.46,-0.11,1.81,-1.78,4.88,,1373,-0.91,0.92,0,0.46,-0.11,1.81,-1.78,4.88
35867,-0.88,0.72,0.65,0.79,-0.29,1.6,-2.04,4.89,,1389,-0.88,0.72,0.65,0.79,-0.29,1.6,-2.04,4.89
35883,-0.53,0.87,0.48,0.96,-0.37,2.69,-1.91,4.42,,1405,-0.53,0.87,0.48,0.96,-0.37,2.69,-1.91,4.42
35900,-0.13,1.06,0.8,0.9,-0.55,1.93,-1.73,4.65,,1422,-0.13,1.06,0.8,0.9,-0.55,1.93,-1.73,4.65
35916,-0.37,1,0.91,1.38,-0.77,2.12,-1.76,4.31,,1438,-0.37,1,0.91,1.38,-0.77,2.12,-1.76,4.31
35932,-0.07,1.5,0.47,0.84,-0.94,2.17,-2.1,3.95,,1454,-0.07,1.5,0.47,0.84,-0.94,2.17,-2.1,3.95
35948,-0.59,1.19,1.12,0.52,-0.6,2.02,-2.12,4.17,,1470,-0.59,1.19,1.12,0.52,-0.6,2.02,-2.12,4.17
35964,-0.31,1.15,1.44,0.59,-0.89,1.48,-2.41,4.12,,1486,-0.31,1.15,1.44,0.59,-0.89,1.48,-2.41,4.12
35980,-0.72,0.85,0.5,0.32,-0.99,1.17,-2.42,3.65,,1502,-0.72,0.85,0.5,0.32,-0.99,1.17,-2.42,3.65
35997,-0.41,0.83,0.95,0.28,-1.41,0.67,-2.27,3.9,,1519,-0.41,0.83,0.95,0.28,-1.41,0.67,-2.27,3.9
36013,-0.84,0.74,1.08,0.86,-1.73,0.42,-2.2,4.74,,1535,-0.84,0.74,1.08,0.86,-1.73,0.42,-2.2,4.74
36029,-0.93,0.59,0.49,0.54,-1.76,0.16,-2.51,4.31,,1551,-0.93,0.59,0.49,0.54,-1.76,0.16,-2.51,4.31
36045,-0.92,0.9,0.65,0.63,-1.97,0.12,-2.48,4.29,,1567,-0.92,0.9,0.65,0.63,-1.97,0.12,-2.48,4.29
36061,-0.55,0.84,1.01,1.17,0.84,1.49,-1.95,4.28,,1583,-0.55,0.84,1.01,1.17,0.84,1.49,-1.95,4.28
36077,-0.44,0.65,1.09,1.28,-0.31,0.8,-1.94,4.67,,1599,-0.44,0.65,1.09,1.28,-0.31,0.8,-1.94,4.67
36094,-0.94,0.25,0.91,1.13,-0.46,1.17,-2.08,4.8,,1616,-0.94,0.25,0.91,1.13,-0.46,1.17,-2.08,4.8
36110,-0.89,-0.02,0.6,0.66,-0.18,1.39,-2.79,3.94,,1632,-0.89,-0.02,0.6,0.66,-0.18,1.39,-2.79,3.94
36126,-0.47,-0.05,0.7,0.68,0.07,1.19,-2.36,3.93,,1648,-0.47,-0.05,0.7,0.68,0.07,1.19,-2.36,3.93
36142,-0.68,-0.53,1.18,0.74,-0.03,1.65,-2.37,3.8,,1664,-0.68,-0.53,1.18,0.74,-0.03,1.65,-2.37,3.8
36158,-1.22,-0.63,0.95,0.55,0.11,1.1,-1.92,3.33,,1680,-1.22,-0.63,0.95,0.55,0.11,1.1,-1.92,3.33
36174,-2.61,-0.68,0.81,0.47,0.05,1.02,-1.72,3.13,,1696,-2.61,-0.68,0.81,0.47,0.05,1.02,-1.72,3.13
36190,-2.78,-0.59,0.44,0.5,-0.04,1.23,-1.85,4.54,,1712,-2.78,-0.59,0.44,0.5,-0.04,1.23,-1.85,4.54
36207,0.73,0.79,0.96,0.48,0.26,0.73,-2.58,4.24,,1729,0.73,0.79,0.96,0.48,0.26,0.73,-2.58,4.24
36223,-0.07,0.33,0.56,0.16,0.12,0.51,-2.55,3.35,,1745,-0.07,0.33,0.56,0.16,0.12,0.51,-2.55,3.35
36239,-0.07,0.4,0.46,0.15,0.18,0.53,-1.68,3.6,,1761,-0.07,0.4,0.46,0.15,0.18,0.53,-1.68,3.6
36255,0,0.17,0.52,-0.01,-0.06,0.66,-1.56,3.43,,1777,0,0.17,0.52,-0.01,-0.06,0.66,-1.56,3.43
36271,-0.12,0.1,0.36,0.52,-0.21,0.24,-1.11,3.17,,1793,-0.12,0.1,0.36,0.52,-0.21,0.24,-1.11,3.17
36287,-0.22,0.37,0.42,0.69,-0.35,0.31,-1.47,3.55,,1809,-0.22,0.37,0.42,0.69,-0.35,0.31,-1.47,3.55
36304,-0.55,0.04,0.84,0.75,-0.31,0.12,-1.45,2.9,,1826,-0.55,0.04,0.84,0.75,-0.31,0.12,-1.45,2.9
36320,-0.36,0.21,0.92,1.05,-0.47,0.26,-1.29,2.64,,1842,-0.36,0.21,0.92,1.05,-0.47,0.26,-1.29,2.64
36336,-0.23,0.39,0.78,1.44,-0.55,0.24,-0.97,3.08,,1858,-0.23,0.39,0.78,1.44,-0.55,0.24,-0.97,3.08
36352,-0.08,0.38,0.88,1.76,-0.46,0.19,-1.64,3.06,,1874,-0.08,0.38,0.88,1.76,-0.46,0.19,-1.64,3.06
36368,0.03,0.43,0.75,1.68,-0.27,0.2,-1.97,2.54,,1890,0.03,0.43,0.75,1.68,-0.27,0.2,-1.97,2.54
36384,-0.07,0.39,0.28,1.6,-0.53,0,-1.81,2.55,,1906,-0.07,0.39,0.28,1.6,-0.53,0,-1.81,2.55
36401,0.12,0.19,0.47,1.1,-0.42,0.48,-1.99,4.71,,1923,0.12,0.19,0.47,1.1,-0.42,0.48,-1.99,4.71
36417,0.08,0.42,0.75,-0.02,-0.12,-0.06,-2.76,4.56,,1939,0.08,0.42,0.75,-0.02,-0.12,-0.06,-2.76,4.56
36433,0.78,0.38,0.64,-0.23,-0.08,-0.03,-1.92,5.01,,1955,0.78,0.38,0.64,-0.23,-0.08,-0.03,-1.92,5.01
36449,1.33,0.31,1.11,-0.95,-0.09,-0.04,-1.62,5.71,,1971,1.33,0.31,1.11,-0.95,-0.09,-0.04,-1.62,5.71
36465,0.75,0.37,1.22,-0.95,-0.62,-0.17,-0.72,3.03,,1987,0.75,0.37,1.22,-0.95,-0.62,-0.17,-0.72,3.03
36481,7.31,8.48,6.38,2.15,14.78,3.06,4,2.23,,2003,7.31,8.48,6.38,2.15,14.78,3.06,4,2.23
36498,17.3,17.23,17.01,16.37,12.45,10.26,9.08,2.68,,2020,17.3,17.23,17.01,16.37,12.45,10.26,9.08,2.68
36514,8.2,8.47,7.96,8.2,7.93,8.3,-0.63,8.16,,2036,8.2,8.47,7.96,8.2,7.93,8.3,-0.63,8.16
36531,3.97,5.12,8.33,9.17,9.42,9.35,-2.7,11.01,,2053,3.97,5.12,8.33,9.17,9.42,9.35,-2.7,11.01
36547,2.45,-2.52,-3.9,-2.67,-0.63,1.12,-12.9,17.61,,2069,2.45,-2.52,-3.9,-2.67,-0.63,1.12,-12.9,17.61
36564,-3.6,-0.43,-2.69,-2.11,-0.26,-2.91,-12.72,15.8,,2086,-3.6,-0.43,-2.69,-2.11,-0.26,-2.91,-12.72,15.8
36580,0.02,0.98,-1.35,-1.72,-0.53,-0.83,-0.03,-5.76,,2102,0.02,0.98,-1.35,-1.72,-0.53,-0.83,-0.03,-5.76
36596,0.75,1.51,0.31,-1.33,0.58,-0.06,-0.83,1.16,,2118,0.75,1.51,0.31,-1.33,0.58,-0.06,-0.83,1.16
36612,1.6,0.63,0.08,0.03,0.36,0.24,0.45,-0.16,,2134,1.6,0.63,0.08,0.03,0.36,0.24,0.45,-0.16
36628,-0.03,-0.04,-0.14,0.32,-0.35,-0.46,-0.09,0.58,,2150,-0.03,-0.04,-0.14,0.32,-0.35,-0.46,-0.09,0.58
36644,0.01,-0.3,0.12,0.85,-0.41,-0.76,0.12,0.25,,2166,0.01,-0.3,0.12,0.85,-0.41,-0.76,0.12,0.25
36660,0.34,-0.23,-0.24,0.08,-0.3,-0.34,-0.32,-0.27,,2182,0.34,-0.23,-0.24,0.08,-0.3,-0.34,-0.32,-0.27
36676,0.11,0.46,-0.06,0.22,-0.79,0.07,-0.19,-0.23,,2198,0.11,0.46,-0.06,0.22,-0.79,0.07,-0.19,-0.23
36692,0.14,-0.2,-0.14,-0.16,0.03,-0.09,-0.28,-0.28,,2214,0.14,-0.2,-0.14,-0.16,0.03,-0.09,-0.28,-0.28
36709,0.62,-0.14,-0.23,-0.03,-0.59,-0.84,0.15,-0.19,,2231,0.62,-0.14,-0.23,-0.03,-0.59,-0.84,0.15,-0.19
36725,-0.04,0.4,1.89,0.45,1.05,-1.43,6.99,0.1,,2247,-0.04,0.4,1.89,0.45,1.05,-1.43,6.99,0.1
36741,1.68,-0.97,-1.9,-0.34,0.69,-0.91,5.61,3.62,,2263,1.68,-0.97,-1.9,-0.34,0.69,-0.91,5.61,3.62
36757,-0.48,-1.34,1.41,-1.25,-0.34,-0.93,-0.38,-1.33,,2279,-0.48,-1.34,1.41,-1.25,-0.34,-0.93,-0.38,-1.33
36773,-0.59,0.78,0.69,-0.38,-1.51,-0.15,0.25,-0.2,,2295,-0.59,0.78,0.69,-0.38,-1.51,-0.15,0.25,-0.2
36789,0.33,-0.39,-0.3,-0.45,-0.41,0.26,0.35,0.21,,2311,0.33,-0.39,-0.3,-0.45,-0.41,0.26,0.35,0.21
36806,-0.29,-0.6,-0.48,0.25,0.78,0.57,-2.15,5.17,,2328,-0.29,-0.6,-0.48,0.25,0.78,0.57,-2.15,5.17
36822,0.2,0.32,-0.52,0.11,-0.7,-0.97,-5.41,13.22,,2344,0.2,0.32,-0.52,0.11,-0.7,-0.97,-5.41,13.22
36838,-0.24,-0.35,-0.48,-0.14,-0.81,-0.13,-7.33,17.92,,2360,-0.24,-0.35,-0.48,-0.14,-0.81,-0.13,-7.33,17.92
36854,0.06,0.28,-0.31,-0.18,3.26,14.9,-7.72,17.74,,2376,0.06,0.28,-0.31,-0.18,3.26,14.9,-7.72,17.74
36870,0.89,-0.51,-0.2,0.18,0.7,17.54,-8.6,17.13,,2392,0.89,-0.51,-0.2,0.18,0.7,17.54,-8.6,17.13
36886,-0.18,-0.32,0.22,0.34,-7.65,17.69,-7.2,9.97,,2408,-0.18,-0.32,0.22,0.34,-7.65,17.69,-7.2,9.97
36903,-0.1,-0.07,-0.58,-0.53,-11.84,15.69,-0.24,0.78,,2425,-0.1,-0.07,-0.58,-0.53,-11.84,15.69,-0.24,0.78
36919,0.07,-0.28,-0.75,0,-8.82,10.95,-0.29,-0.06,,2441,0.07,-0.28,-0.75,0,-8.82,10.95,-0.29,-0.06
36935,16.08,17.11,10.79,17.21,0.75,1.78,0.21,0.29,,2457,16.08,17.11,10.79,17.21,0.75,1.78,0.21,0.29
36951,-5.31,14.53,-4.28,0.54,-0.2,0.3,1.07,0.3,,2473,-5.31,14.53,-4.28,0.54,-0.2,0.3,1.07,0.3
36967,3.02,-4.36,-2.5,0.43,3.26,-0.49,3.07,1.02,,2489,3.02,-4.36,-2.5,0.43,3.26,-0.49,3.07,1.02
36983,1.65,-1.32,-0.67,0.14,3.76,-1.7,5.22,1.62,,2505,1.65,-1.32,-0.67,0.14,3.76,-1.7,5.22,1.62
37000,0.3,-0.35,0.44,0.53,1.2,-0.53,3.35,1.28,,2522,0.3,-0.35,0.44,0.53,1.2,-0.53,3.35,1.28
37016,1.04,0.45,0.05,0.06,2.58,1.01,2.87,2.65,,2538,1.04,0.45,0.05,0.06,2.58,1.01,2.87,2.65
37032,9.33,8.75,7.55,7.85,4.61,2.49,4.3,3.46,,2554,9.33,8.75,7.55,7.85,4.61,2.49,4.3,3.46
37048,4.33,5.35,3.09,4.26,4.14,0.93,4.4,3.06,,2570,4.33,5.35,3.09,4.26,4.14,0.93,4.4,3.06
37064,-0.03,0.91,1.54,0.25,0.31,0.04,0.97,2.59,,2586,-0.03,0.91,1.54,0.25,0.31,0.04,0.97,2.59
37080,0.44,0.44,2.18,-0.41,-0.16,3.1,1.78,5.25,,2602,0.44,0.44,2.18,-0.41,-0.16,3.1,1.78,5.25
37096,3.21,0.09,3.22,-0.18,1.06,7.21,2.35,6.92,,2618,3.21,0.09,3.22,-0.18,1.06,7.21,2.35,6.92
37113,5.27,-0.02,3.56,-0.4,0.31,7.18,2.03,6.75,,2635,5.27,-0.02,3.56,-0.4,0.31,7.18,2.03,6.75
37129,4.39,-0.94,3.36,-0.75,-0.39,4.92,1.79,5.35,,2651,4.39,-0.94,3.36,-0.75,-0.39,4.92,1.79,5.35
37145,2.35,-0.9,2.97,-0.21,0.23,3.24,2.25,4.54,,2667,2.35,-0.9,2.97,-0.21,0.23,3.24,2.25,4.54
37161,1.53,1.57,2.87,1.13,1.12,2.24,2.37,4.18,,2683,1.53,1.57,2.87,1.13,1.12,2.24,2.37,4.18
37177,1.35,2.68,2.79,2.12,1.47,1.86,2.64,3.82,,2699,1.35,2.68,2.79,2.12,1.47,1.86,2.64,3.82
37193,1.3,2.63,3.08,2,1.31,2.36,2.45,3.88,,2715,1.3,2.63,3.08,2,1.31,2.36,2.45,3.88
37210,1.67,2.29,2.66,1.12,1.26,3.23,2.29,3.9,,2732,1.67,2.29,2.66,1.12,1.26,3.23,2.29,3.9
37226,2.4,1.48,2.69,0.62,1.24,3.85,2.14,4.51,,2748,2.4,1.48,2.69,0.62,1.24,3.85,2.14,4.51
37242,3.23,1.02,2.8,0.01,0.83,4,2.06,4.66,,2764,3.23,1.02,2.8,0.01,0.83,4,2.06,4.66
37258,3.17,0.12,2.83,-0.08,0.54,3.81,2.07,4.83,,2780,3.17,0.12,2.83,-0.08,0.54,3.81,2.07,4.83
37274,2.74,0.67,2.76,0.04,0.74,3.64,1.92,4.65,,2796,2.74,0.67,2.76,0.04,0.74,3.64,1.92,4.65
37290,2.22,1.18,2.88,0.48,0.92,3.23,2.26,4.54,,2812,2.22,1.18,2.88,0.48,0.92,3.23,2.26,4.54
37307,1.62,1.51,2.98,1.49,1.23,2.6,2.35,4.27,,2829,1.62,1.51,2.98,1.49,1.23,2.6,2.35,4.27
37323,1.68,1.65,3.03,1.35,0.8,2.76,2.44,4.14,,2845,1.68,1.65,3.03,1.35,0.8,2.76,2.44,4.14
37339,1.8,1.49,2.86,1.32,0.91,3.19,2.32,4.36,,2861,1.8,1.49,2.86,1.32,0.91,3.19,2.32,4.36
37355,2.22,1.12,2.74,1,1.04,3.61,2.26,4.44,,2877,2.22,1.12,2.74,1,1.04,3.61,2.26,4.44
37371,2.5,1.17,2.91,0.39,0.82,3.55,2.23,4.45,,2893,2.5,1.17,2.91,0.39,0.82,3.55,2.23,4.45
37387,2.5,1.02,2.71,0.46,0.83,3.69,2.14,4.46,,2909,2.5,1.02,2.71,0.46,0.83,3.69,2.14,4.46
37404,2.58,1.21,2.77,0.46,0.91,3.3,2.2,4.28,,2926,2.58,1.21,2.77,0.46,0.91,3.3,2.2,4.28
37420,2.15,1.29,2.8,0.58,1.11,3.28,2.04,4.13,,2942,2.15,1.29,2.8,0.58,1.11,3.28,2.04,4.13
37436,1.88,1.61,2.69,0.69,1,2.96,2.14,4.5,,2958,1.88,1.61,2.69,0.69,1,2.96,2.14,4.5
37452,2.01,1.52,2.87,1.19,1.12,3.14,2.24,4.06,,2974,2.01,1.52,2.87,1.19,1.12,3.14,2.24,4.06
37468,2.01,1.37,3.11,0.68,0.73,3.11,2.3,4.63,,2990,2.01,1.37,3.11,0.68,0.73,3.11,2.3,4.63
37492,2.11,1.28,2.7,0.43,0.74,3.48,2.34,4.47,,3014,2.11,1.28,2.7,0.43,0.74,3.48,2.34,4.47
