Stand4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
21264,-1.5,4.3,-0.67,4.08,2.03,-1.95,3.2,-2.11,,211,-1.5,4.3,-0.67,4.08,2.03,-1.95,3.2,-2.11
21280,-1.82,5.16,-0.8,5.25,3.21,-1.56,2.83,-2.39,,227,-1.82,5.16,-0.8,5.25,3.21,-1.56,2.83,-2.39
21296,-2.19,4.97,-1.21,4.72,2.35,-1.85,3.16,-2.34,,243,-2.19,4.97,-1.21,4.72,2.35,-1.85,3.16,-2.34
21312,-2.17,5.89,-0.63,5.38,1.8,-1.74,2.63,-2.53,,259,-2.17,5.89,-0.63,5.38,1.8,-1.74,2.63,-2.53
21328,-2.16,5.38,-1.02,5.31,1.78,-1.62,2,-2.35,,275,-2.16,5.38,-1.02,5.31,1.78,-1.62,2,-2.35
21345,-2.11,4.79,-0.95,5.47,1.82,-1.18,2.91,-2.08,,292,-2.11,4.79,-0.95,5.47,1.82,-1.18,2.91,-2.08
21361,-2.22,4.98,-0.57,5.66,2.1,-1.35,3.37,-1.53,,308,-2.22,4.98,-0.57,5.66,2.1,-1.35,3.37,-1.53
21377,-2.02,5.66,-0.59,5.62,1.91,-1.02,2.37,-1.78,,324,-2.02,5.66,-0.59,5.62,1.91,-1.02,2.37,-1.78
21393,-2.12,4.81,-0.65,5,2.16,-1.66,3.15,-1.06,,340,-2.12,4.81,-0.65,5,2.16,-1.66,3.15,-1.06
21409,-2.04,5.19,-0.62,5.43,3.21,-0.92,2.46,-1.14,,356,-2.04,5.19,-0.62,5.43,3.21,-0.92,2.46,-1.14
21425,-1.65,4.41,-0.5,5.12,2.96,-0.76,2.94,-1.17,,372,-1.65,4.41,-0.5,5.12,2.96,-0.76,2.94,-1.17
21442,-1.73,5.63,-0.5,5.63,1.92,-1.05,3.42,-0.93,,389,-1.73,5.63,-0.5,5.63,1.92,-1.05,3.42,-0.93
21458,-1.87,5.44,-0.19,5.9,1.84,-0.76,2.55,-0.88,,405,-1.87,5.44,-0.19,5.9,1.84,-0.76,2.55,-0.88
21474,-1.54,5.85,-0.14,6.46,1.96,-0.85,3.15,-0.6,,421,-1.54,5.85,-0.14,6.46,1.96,-0.85,3.15,-0.6
21490,-1.33,6.13,0.06,6.05,2.54,-0.65,3.24,-0.32,,437,-1.33,6.13,0.06,6.05,2.54,-0.65,3.24,-0.32
21506,-1.25,5.7,0.38,6.03,2.66,-0.42,3.26,0.28,,453,-1.25,5.7,0.38,6.03,2.66,-0.42,3.26,0.28
21522,-1.3,6.15,0.55,5.87,2.93,-0.37,3.46,0.13,,469,-1.3,6.15,0.55,5.87,2.93,-0.37,3.46,0.13
21539,-0.92,5.91,0.48,5.59,2.08,-0.28,3.16,0.29,,486,-0.92,5.91,0.48,5.59,2.08,-0.28,3.16,0.29
21555,-0.9,5.99,0.65,5.93,2.43,-0.18,3.79,0.32,,502,-0.9,5.99,0.65,5.93,2.43,-0.18,3.79,0.32
21571,-0.75,6.21,0.92,5.96,2.24,-0.14,3.65,0.6,,518,-0.75,6.21,0.92,5.96,2.24,-0.14,3.65,0.6
21587,-0.25,6.41,1.15,6.51,2,0.23,3.99,0.61,,534,-0.25,6.41,1.15,6.51,2,0.23,3.99,0.61
21603,0.11,6.32,1.43,5.95,2.59,0.51,3.69,0.74,,550,0.11,6.32,1.43,5.95,2.59,0.51,3.69,0.74
21619,0.26,5.54,2.07,5.95,3.53,1,3.47,1.25,,566,0.26,5.54,2.07,5.95,3.53,1,3.47,1.25
21643,0.87,5.38,2.18,5.95,3.84,1.27,3.11,1.64,,590,0.87,5.38,2.18,5.95,3.84,1.27,3.11,1.64
21667,1.15,4.68,2.71,5.95,2.94,1.46,4.11,2.18,,614,1.15,4.68,2.71,5.95,2.94,1.46,4.11,2.18
21691,1.27,5.38,3.14,5.95,3.01,1.94,3.46,2.84,,638,1.27,5.38,3.14,5.95,3.01,1.94,3.46,2.84
21715,1.59,4.49,3.48,5.95,3.8,2.2,3.85,3.25,,662,1.59,4.49,3.48,5.95,3.8,2.2,3.85,3.25
21739,1.9,4.98,3.55,5.95,3.21,2.37,3.52,3.75,,686,1.9,4.98,3.55,5.95,3.21,2.37,3.52,3.75
21763,2.03,4.11,3.91,5.95,3.22,3,3.65,4.61,,710,2.03,4.11,3.91,5.95,3.22,3,3.65,4.61
21787,1.97,3.82,3.97,5.95,3.13,3.71,4.37,4.67,,734,1.97,3.82,3.97,5.95,3.13,3.71,4.37,4.67
21811,2.1,3.54,4.27,5.95,2.66,3.95,4.33,5.01,,758,2.1,3.54,4.27,5.95,2.66,3.95,4.33,5.01
21835,2.53,3.67,4.13,4.56,2.53,4.16,4.04,5.44,,782,2.53,3.67,4.13,4.56,2.53,4.16,4.04,5.44
21851,2.26,3.35,4.37,4.56,2.6,4.49,4.42,5.61,,798,2.26,3.35,4.37,4.56,2.6,4.49,4.42,5.61
21867,2.53,3.12,4.39,4.56,3.09,4.92,3.85,5.97,,814,2.53,3.12,4.39,4.56,3.09,4.92,3.85,5.97
21883,3.08,2.96,4.29,4.56,2.7,5.1,3.63,5.95,,830,3.08,2.96,4.29,4.56,2.7,5.1,3.63,5.95
21899,3.21,3.13,4.15,4.56,3.13,5.36,4.02,6.23,,846,3.21,3.13,4.15,4.56,3.13,5.36,4.02,6.23
21915,3.05,2.39,4.33,4.56,3.49,5.52,4.04,6.35,,862,3.05,2.39,4.33,4.56,3.49,5.52,4.04,6.35
21931,2.92,2.36,4.3,4.19,3.8,5.62,3.6,6.74,,878,2.92,2.36,4.3,4.19,3.8,5.62,3.6,6.74
21948,3.16,2.89,4.31,3.57,3.5,5.48,3.76,6.64,,895,3.16,2.89,4.31,3.57,3.5,5.48,3.76,6.64
21964,3.15,2.75,4.31,3.58,3.46,5.83,3.87,6.94,,911,3.15,2.75,4.31,3.58,3.46,5.83,3.87,6.94
21980,3.16,2.86,4.43,3.71,3.56,5.6,3.67,6.66,,927,3.16,2.86,4.43,3.71,3.56,5.6,3.67,6.66
21996,3.13,2.92,4.31,3.34,3.16,5.39,3.51,6.53,,943,3.13,2.92,4.31,3.34,3.16,5.39,3.51,6.53
22012,3.33,2.93,4.3,2.84,3.02,5.47,3.82,6.75,,959,3.33,2.93,4.3,2.84,3.02,5.47,3.82,6.75
22028,3.11,2.98,4.31,3.04,3.35,5.43,4.01,6.43,,975,3.11,2.98,4.31,3.04,3.35,5.43,4.01,6.43
22045,2.96,3.25,4.31,2.98,3.26,5.25,3.95,6.34,,992,2.96,3.25,4.31,2.98,3.26,5.25,3.95,6.34
22061,2.99,3.06,4.34,3,3.28,5.26,3.94,6.26,,1008,2.99,3.06,4.34,3,3.28,5.26,3.94,6.26
