Stand4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
21053,0.34,0.1,0.23,0,-0.02,0.33,0.3,0.28,,0,0.34,0.1,0.23,0,-0.02,0.33,0.3,0.28
21070,0.15,0.37,0.24,0.1,0.02,0.34,0.41,0.28,,17,0.15,0.37,0.24,0.1,0.02,0.34,0.41,0.28
21086,0.14,0.03,0.22,0.2,-0.15,0.35,0.23,0.29,,33,0.14,0.03,0.22,0.2,-0.15,0.35,0.23,0.29
21102,0.09,0.31,0.21,0.15,-0.22,0.63,0.46,0.31,,49,0.09,0.31,0.21,0.15,-0.22,0.63,0.46,0.31
21118,0.15,0.6,0.2,0.53,0.29,0.32,0.88,0.11,,65,0.15,0.6,0.2,0.53,0.29,0.32,0.88,0.11
21135,0.04,0.98,0.4,0.73,0.65,0.47,1.23,0.41,,82,0.04,0.98,0.4,0.73,0.65,0.47,1.23,0.41
21151,0.3,1.52,0.1,1.17,1.14,0.61,1.55,0.21,,98,0.3,1.52,0.1,1.17,1.14,0.61,1.55,0.21
21167,0.26,2.12,0.11,1.93,1.49,0.37,2.08,0.37,,114,0.26,2.12,0.11,1.93,1.49,0.37,2.08,0.37
21183,0.45,2.89,0.42,2.41,2.17,0.38,2.79,0.26,,130,0.45,2.89,0.42,2.41,2.17,0.38,2.79,0.26
21199,0.23,3.51,0.13,2.72,2.52,0.29,2.84,-0.13,,146,0.23,3.51,0.13,2.72,2.52,0.29,2.84,-0.13
21215,-0.06,4.12,0.53,3.67,1.93,-0.31,3.21,-0.56,,162,-0.06,4.12,0.53,3.67,1.93,-0.31,3.21,-0.56
21232,-0.6,4.12,0.21,3.62,2.22,-1.06,3.21,-1.04,,179,-0.6,4.12,0.21,3.62,2.22,-1.06,3.21,-1.04
21248,-0.79,4.1,-0.32,4.13,2.82,-1.83,2.43,-1.93,,195,-0.79,4.1,-0.32,4.13,2.82,-1.83,2.43,-1.93
