Stand5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
14699,1.48,5.99,3.08,4.83,3.15,1.84,3.84,2.77,,648,1.48,5.99,3.08,4.83,3.15,1.84,3.84,2.77
14715,1.53,5.25,3.09,5.96,3.35,1.76,3.9,3.32,,664,1.53,5.25,3.09,5.96,3.35,1.76,3.9,3.32
14731,1.82,5.68,3.56,5.27,3.07,2.22,4,3.59,,680,1.82,5.68,3.56,5.27,3.07,2.22,4,3.59
14747,1.79,4.67,3.63,4.81,2.64,2.46,3.79,4.06,,696,1.79,4.67,3.63,4.81,2.64,2.46,3.79,4.06
14763,1.89,4.56,3.94,4.54,2.79,3.09,3.62,4.36,,712,1.89,4.56,3.94,4.54,2.79,3.09,3.62,4.36
14779,2.01,3.86,3.79,5.05,2.82,3.12,4.01,4.38,,728,2.01,3.86,3.79,5.05,2.82,3.12,4.01,4.38
14796,2.04,4.31,4,5.01,3.28,3.39,3.79,4.56,,745,2.04,4.31,4,5.01,3.28,3.39,3.79,4.56
14812,2.32,3.75,4.21,4.38,2.71,3.49,4.35,5.18,,761,2.32,3.75,4.21,4.38,2.71,3.49,4.35,5.18
14828,2.36,3.99,4.31,4.23,2.39,4.23,3.98,5.33,,777,2.36,3.99,4.31,4.23,2.39,4.23,3.98,5.33
14844,2.37,3.76,3.99,3.96,2.62,4.32,4.24,5.71,,793,2.37,3.76,3.99,3.96,2.62,4.32,4.24,5.71
14860,2.66,3.51,4.19,3.71,3.06,4.31,4.32,5.79,,809,2.66,3.51,4.19,3.71,3.06,4.31,4.32,5.79
14876,2.76,2.89,4.29,3.24,2.74,4.62,3.66,5.97,,825,2.76,2.89,4.29,3.24,2.74,4.62,3.66,5.97
14892,3.15,2.6,4.29,3.24,2.92,4.85,3.85,6.34,,841,3.15,2.6,4.29,3.24,2.92,4.85,3.85,6.34
14909,3.22,2.6,4.16,3.28,3.22,5.25,4.08,6.88,,858,3.22,2.6,4.16,3.28,3.22,5.25,4.08,6.88
14925,3.28,2.87,4.27,3.15,3.57,5.29,3.69,6.91,,874,3.28,2.87,4.27,3.15,3.57,5.29,3.69,6.91
14941,3.25,2.73,4.21,3.19,3.29,5.31,3.41,6.68,,890,3.25,2.73,4.21,3.19,3.29,5.31,3.41,6.68
14957,3.17,3.12,4.19,2.99,3.21,5.25,3.55,6.84,,906,3.17,3.12,4.19,2.99,3.21,5.25,3.55,6.84
14973,3.25,3.04,4.29,2.69,3.2,5.32,3.58,6.53,,922,3.25,3.04,4.29,2.69,3.2,5.32,3.58,6.53
14989,3.25,2.87,4.55,2.85,2.89,5.39,3.38,6.68,,938,3.25,2.87,4.55,2.85,2.89,5.39,3.38,6.68
15006,3.25,2.92,4.08,3.09,3.11,5.05,3.7,6.38,,955,3.25,2.92,4.08,3.09,3.11,5.05,3.7,6.38
15022,3.32,3.19,4.27,3.23,3.22,5.1,4.04,6.28,,971,3.32,3.19,4.27,3.23,3.22,5.1,4.04,6.28
15038,3.15,3.27,4.22,3.33,3.15,4.94,4.06,6.32,,987,3.15,3.27,4.22,3.33,3.15,4.94,4.06,6.32
15054,2.96,3.33,4.26,3.6,3.19,4.75,3.98,6.24,,1003,2.96,3.33,4.26,3.6,3.19,4.75,3.98,6.24
