Stand5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
14051,0.17,-0.03,0.16,0.08,-0.29,0.31,0.31,0.06,,0,0.17,-0.03,0.16,0.08,-0.29,0.31,0.31,0.06
14068,0.17,0.24,0.24,0.11,-0.23,0.33,0.44,0.07,,17,0.17,0.24,0.24,0.11,-0.23,0.33,0.44,0.07
14084,0.16,0.38,0.16,0.2,-0.14,0.07,0.47,0.07,,33,0.16,0.38,0.16,0.2,-0.14,0.07,0.47,0.07
14101,0.2,0.43,0.23,0.37,0.08,0.42,0.72,0.07,,50,0.2,0.43,0.23,0.37,0.08,0.42,0.72,0.07
14117,0.16,0.55,0.49,0.53,0.34,0.08,0.91,0.07,,66,0.16,0.55,0.49,0.53,0.34,0.08,0.91,0.07
14133,0.15,0.96,0.38,0.76,0.47,0.1,1.22,0.07,,82,0.15,0.96,0.38,0.76,0.47,0.1,1.22,0.07
14149,0.14,1.54,0.35,1.37,0.89,0.11,1.75,0.07,,98,0.14,1.54,0.35,1.37,0.89,0.11,1.75,0.07
14165,0.27,2.03,0.35,1.68,1.24,0.44,2.3,0.11,,114,0.27,2.03,0.35,1.68,1.24,0.44,2.3,0.11
14181,0.25,3,0.34,2.28,1.47,0.48,3.1,0.06,,130,0.25,3,0.34,2.28,1.47,0.48,3.1,0.06
14198,0.07,3.89,0.34,2.75,2.23,0.15,2.69,-0.32,,147,0.07,3.89,0.34,2.75,2.23,0.15,2.69,-0.32
14214,0.15,3.81,0.22,3.02,1.97,-0.44,3.01,-0.51,,163,0.15,3.81,0.22,3.02,1.97,-0.44,3.01,-0.51
14230,-0.28,4.33,0.23,3.53,2.33,-0.88,3.3,-1.1,,179,-0.28,4.33,0.23,3.53,2.33,-0.88,3.3,-1.1
14246,-0.69,4.74,-0.21,3.71,1.63,-1.71,2.52,-1.64,,195,-0.69,4.74,-0.21,3.71,1.63,-1.71,2.52,-1.64
14262,-1.02,4.36,-0.49,4.11,2.61,-0.81,3.11,-1.83,,211,-1.02,4.36,-0.49,4.11,2.61,-0.81,3.11,-1.83
14278,-2.17,4.9,-0.8,4.65,3.58,-1.6,3.21,-2.36,,227,-2.17,4.9,-0.8,4.65,3.58,-1.6,3.21,-2.36
14295,-1.69,5.53,-1,5.41,1.97,-1.96,2.95,-2.27,,244,-1.69,5.53,-1,5.41,1.97,-1.96,2.95,-2.27
14311,-2.31,5.46,-1.82,5.17,1.76,-1.22,2.73,-1.98,,260,-2.31,5.46,-1.82,5.17,1.76,-1.22,2.73,-1.98
14327,-2.61,5.57,-1.36,4.7,2.68,-1.1,2.15,-1.75,,276,-2.61,5.57,-1.36,4.7,2.68,-1.1,2.15,-1.75
14343,-2.18,5.41,-1.14,5.57,2.02,-1.68,3.28,-1.46,,292,-2.18,5.41,-1.14,5.57,2.02,-1.68,3.28,-1.46
14359,-2.29,6.12,-1.08,5.79,2.11,-1.16,3.14,-1.61,,308,-2.29,6.12,-1.08,5.79,2.11,-1.16,3.14,-1.61
14375,-2.03,5.3,-0.96,5.31,0.98,-0.7,2.58,-1.4,,324,-2.03,5.3,-0.96,5.31,0.98,-0.7,2.58,-1.4
14392,-2.2,5.52,-1.17,5.16,2.64,-0.99,2.78,-1.01,,341,-2.2,5.52,-1.17,5.16,2.64,-0.99,2.78,-1.01
14408,-1.98,5.08,-0.74,5.13,2.37,-0.74,2.94,-0.95,,357,-1.98,5.08,-0.74,5.13,2.37,-0.74,2.94,-0.95
14424,-2.1,4.87,-0.61,5.69,2.4,-1.06,2.97,-0.64,,373,-2.1,4.87,-0.61,5.69,2.4,-1.06,2.97,-0.64
14440,-1.87,5.98,-0.54,5.45,2.8,-0.83,2.76,-0.77,,389,-1.87,5.98,-0.54,5.45,2.8,-0.83,2.76,-0.77
14456,-1.87,5.59,-0.42,5.33,1.98,-0.66,2.96,-0.53,,405,-1.87,5.59,-0.42,5.33,1.98,-0.66,2.96,-0.53
14472,-1.65,5.95,-0.15,6.32,1.71,-0.61,3.28,-0.36,,421,-1.65,5.95,-0.15,6.32,1.71,-0.61,3.28,-0.36
14488,-1.53,6.23,-0.12,6.02,1.45,-0.92,3.15,-0.19,,437,-1.53,6.23,-0.12,6.02,1.45,-0.92,3.15,-0.19
14505,-1.66,5.67,0.4,5.79,2.13,-0.21,3.01,-0.13,,454,-1.66,5.67,0.4,5.79,2.13,-0.21,3.01,-0.13
14521,-1.1,5.7,0.16,5.6,2.15,-0.56,3.52,0.14,,470,-1.1,5.7,0.16,5.6,2.15,-0.56,3.52,0.14
14537,-1.19,5.82,0.66,5.61,2.06,-0.38,3.2,0.37,,486,-1.19,5.82,0.66,5.61,2.06,-0.38,3.2,0.37
14553,-0.74,5.86,0.69,5.76,2.11,-0.19,3.86,0.29,,502,-0.74,5.86,0.69,5.76,2.11,-0.19,3.86,0.29
14569,-0.57,6.19,0.8,6.17,2.76,0.24,3.77,0.5,,518,-0.57,6.19,0.8,6.17,2.76,0.24,3.77,0.5
14585,-0.05,6.3,1.15,6.36,2.69,0.36,3.8,0.73,,534,-0.05,6.3,1.15,6.36,2.69,0.36,3.8,0.73
14602,0.05,6.44,1.53,5.67,2.99,0.42,3.41,0.96,,551,0.05,6.44,1.53,5.67,2.99,0.42,3.41,0.96
14618,0.13,6.18,1.85,5.39,3.02,0.63,3.46,1.1,,567,0.13,6.18,1.85,5.39,3.02,0.63,3.46,1.1
14634,1.02,6.32,1.9,5.33,2.52,0.8,3.7,1.28,,583,1.02,6.32,1.9,5.33,2.52,0.8,3.7,1.28
14650,0.82,5.84,2.15,5.26,2.77,0.94,3.41,2.16,,599,0.82,5.84,2.15,5.26,2.77,0.94,3.41,2.16
14666,1.24,5.55,2.58,5.8,2.77,1.21,3.37,2.14,,615,1.24,5.55,2.58,5.8,2.77,1.21,3.37,2.14
14682,1.62,5.6,3.01,5.48,2.97,1.44,3.63,2.51,,631,1.62,5.6,3.01,5.48,2.97,1.44,3.63,2.51
