Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
18544,-1.39,4.96,0.09,5.05,1.56,-0.35,3.57,-1,,420,-1.39,4.96,0.09,5.05,1.56,-0.35,3.57,-1
18561,-1.1,5.65,0.19,4.85,1.64,-0.11,3.52,-1,,437,-1.1,5.65,0.19,4.85,1.64,-0.11,3.52,-1
18577,-0.76,5.99,0.22,4.54,1.83,-0.11,3.23,-0.91,,453,-0.76,5.99,0.22,4.54,1.83,-0.11,3.23,-0.91
18593,-0.76,5.57,0.41,4.5,2.05,-0.11,3.5,-0.57,,469,-0.76,5.57,0.41,4.5,2.05,-0.11,3.5,-0.57
18609,-0.67,5.63,0.84,4.4,1.98,0.06,3.63,-0.16,,485,-0.67,5.63,0.84,4.4,1.98,0.06,3.63,-0.16
18625,-0.43,5.45,1.13,4.46,2.2,0.25,3.9,-0.07,,501,-0.43,5.45,1.13,4.46,2.2,0.25,3.9,-0.07
18641,-0.24,5.66,1.13,4.96,2.27,0.36,3.44,0.02,,517,-0.24,5.66,1.13,4.96,2.27,0.36,3.44,0.02
18658,0.05,6,1.46,5.22,2.12,0.46,3.26,0.22,,534,0.05,6,1.46,5.22,2.12,0.46,3.26,0.22
18674,0.49,6.17,1.74,5.06,2.48,0.65,3.45,0.49,,550,0.49,6.17,1.74,5.06,2.48,0.65,3.45,0.49
18690,0.71,5.91,1.99,5.02,2.7,0.9,3.15,0.74,,566,0.71,5.91,1.99,5.02,2.7,0.9,3.15,0.74
18706,0.81,5.65,2.23,4.95,2.6,1.11,3.47,1.16,,582,0.81,5.65,2.23,4.95,2.6,1.11,3.47,1.16
18722,1.09,5.84,2.61,4.33,3.06,1.4,3.49,1.41,,598,1.09,5.84,2.61,4.33,3.06,1.4,3.49,1.41
18738,1.17,5.16,2.73,4.43,3.17,1.59,3.55,1.59,,614,1.17,5.16,2.73,4.43,3.17,1.59,3.55,1.59
18755,1.36,5.51,2.92,5.03,2.9,1.85,3.25,1.77,,631,1.36,5.51,2.92,5.03,2.9,1.85,3.25,1.77
18771,1.67,5.38,3.28,5.14,2.73,2.25,3.19,1.97,,647,1.67,5.38,3.28,5.14,2.73,2.25,3.19,1.97
18787,1.94,4.98,3.37,5.01,3.12,2.7,3.68,2.31,,663,1.94,4.98,3.37,5.01,3.12,2.7,3.68,2.31
18803,2.01,5.21,3.38,5,3.36,3.08,3.62,2.67,,679,2.01,5.21,3.38,5,3.36,3.08,3.62,2.67
18819,2.2,4.7,3.5,4.57,2.44,3.17,3.24,3.12,,695,2.2,4.7,3.5,4.57,2.44,3.17,3.24,3.12
18835,2.49,4.21,3.85,4.02,2.56,3.27,3.47,3.39,,711,2.49,4.21,3.85,4.02,2.56,3.27,3.47,3.39
18851,2.49,4.09,3.85,4.41,2.91,3.73,4.14,3.83,,727,2.49,4.09,3.85,4.41,2.91,3.73,4.14,3.83
18868,2.4,4.09,3.76,4.04,3.38,4.22,4.31,4.34,,744,2.4,4.09,3.76,4.04,3.38,4.22,4.31,4.34
18884,2.59,3.49,3.9,4.2,2.6,4.49,3.82,4.71,,760,2.59,3.49,3.9,4.2,2.6,4.49,3.82,4.71
18900,3.02,3.83,4.12,3.85,2.21,4.6,3.27,5.04,,776,3.02,3.83,4.12,3.85,2.21,4.6,3.27,5.04
18916,3.12,3.39,4.13,3.47,2.31,4.88,3.55,5.22,,792,3.12,3.39,4.13,3.47,2.31,4.88,3.55,5.22
18932,3.12,3.17,4.08,3.25,3.14,5.12,3.41,5.44,,808,3.12,3.17,4.08,3.25,3.14,5.12,3.41,5.44
18948,3.02,2.4,4.09,2.97,2.83,5.34,3.35,5.81,,824,3.02,2.4,4.09,2.97,2.83,5.34,3.35,5.81
18965,3.39,2.37,4.22,2.59,2.8,5.48,3.32,5.92,,841,3.39,2.37,4.22,2.59,2.8,5.48,3.32,5.92
18981,3.58,2.28,4.31,2.82,3.27,5.55,3.34,6.13,,857,3.58,2.28,4.31,2.82,3.27,5.55,3.34,6.13
18997,3.58,2.32,4.22,2.77,3.64,5.73,3.6,6.31,,873,3.58,2.32,4.22,2.77,3.64,5.73,3.6,6.31
19013,3.58,2.24,4.31,2.95,3.92,5.82,3.48,6.47,,889,3.58,2.24,4.31,2.95,3.92,5.82,3.48,6.47
19029,3.58,2.35,4.4,2.62,3.19,5.73,3.24,6.47,,905,3.58,2.35,4.4,2.62,3.19,5.73,3.24,6.47
19045,3.58,2.14,4.38,2.57,3.03,5.64,3.2,6.47,,921,3.58,2.14,4.38,2.57,3.03,5.64,3.2,6.47
19062,3.49,2.16,4.4,2.49,2.88,5.66,3.14,6.31,,938,3.49,2.16,4.4,2.49,2.88,5.66,3.14,6.31
19078,3.12,2.13,4.22,2.43,2.82,5.57,3.43,6.31,,954,3.12,2.13,4.22,2.43,2.82,5.57,3.43,6.31
19094,2.93,2.21,4.22,2.71,2.87,5.57,3.54,6.31,,970,2.93,2.21,4.22,2.71,2.87,5.57,3.54,6.31
19110,3.12,2.32,4.4,2.91,2.87,5.57,3.73,6.31,,986,3.12,2.32,4.4,2.91,2.87,5.57,3.73,6.31
