Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
18124,0.15,0.3,0.25,0.02,-0.24,0.32,0.08,-0.25,,0,0.15,0.3,0.25,0.02,-0.24,0.32,0.08,-0.25
18141,0.15,0.31,0.16,0.12,-0.22,0.32,0.1,-0.2,,17,0.15,0.31,0.16,0.12,-0.22,0.32,0.1,-0.2
18157,0.15,0.36,0.16,0.09,-0.15,0.32,0.1,-0.2,,33,0.15,0.36,0.16,0.09,-0.15,0.32,0.1,-0.2
18173,0.15,0.48,0.25,0.23,0.01,0.32,0.38,-0.16,,49,0.15,0.48,0.25,0.23,0.01,0.32,0.38,-0.16
18189,0.21,0.7,0.16,0.49,0.28,0.39,0.59,-0.29,,65,0.21,0.7,0.16,0.49,0.28,0.39,0.59,-0.29
18206,0.15,1.05,0.25,0.87,0.44,0.32,0.79,-0.29,,82,0.15,1.05,0.25,0.87,0.44,0.32,0.79,-0.29
18222,0.15,1.44,0.16,0.91,0.81,0.32,1.29,-0.39,,98,0.15,1.44,0.16,0.91,0.81,0.32,1.29,-0.39
18238,0.15,2.14,0.16,1.42,1.21,0.3,1.84,-0.39,,114,0.15,2.14,0.16,1.42,1.21,0.3,1.84,-0.39
18254,0.15,2.8,0.16,1.97,1.73,0.3,2.37,-0.73,,130,0.15,2.8,0.16,1.97,1.73,0.3,2.37,-0.73
18270,0.21,3.77,0.16,2.33,1.87,0.02,2.23,-1.26,,146,0.21,3.77,0.16,2.33,1.87,0.02,2.23,-1.26
18286,0.21,4.63,0.25,2.52,1.43,-0.65,2.6,-1.17,,162,0.21,4.63,0.25,2.52,1.43,-0.65,2.6,-1.17
18302,-0.67,3.68,0.16,2.57,2.08,-1.2,2.84,-1.7,,178,-0.67,3.68,0.16,2.57,2.08,-1.2,2.84,-1.7
18318,-1.1,4.29,0.25,3.52,1.94,-1.01,2.71,-1.7,,194,-1.1,4.29,0.25,3.52,1.94,-1.01,2.71,-1.7
18334,-1.55,4.57,-0.13,3.92,2.12,-1.2,2.83,-2.09,,210,-1.55,4.57,-0.13,3.92,2.12,-1.2,2.83,-2.09
18351,-2.4,4.17,-0.91,3.83,2.48,-1.39,2.42,-2,,227,-2.4,4.17,-0.91,3.83,2.48,-1.39,2.42,-2
18367,-2.18,5.21,-0.82,4.64,2.02,-1.1,2.51,-2.18,,243,-2.18,5.21,-0.82,4.64,2.02,-1.1,2.51,-2.18
18383,-2.69,4.68,-1.07,4.12,1.37,-1.01,2.95,-2.09,,259,-2.69,4.68,-1.07,4.12,1.37,-1.01,2.95,-2.09
18399,-2.5,4.94,-0.9,4.32,2.06,-0.46,2.75,-2,,275,-2.5,4.94,-0.9,4.32,2.06,-0.46,2.75,-2
18415,-2.18,4.79,-0.9,4.52,1.91,-0.73,3.36,-1.88,,291,-2.18,4.79,-0.9,4.52,1.91,-0.73,3.36,-1.88
18431,-2.4,4.79,-0.9,4.4,1.64,-0.73,2.87,-1.7,,307,-2.4,4.79,-0.9,4.4,1.64,-0.73,2.87,-1.7
18447,-1.99,5.15,-0.59,4.43,1.12,-0.63,2.54,-1.7,,323,-1.99,5.15,-0.59,4.43,1.12,-0.63,2.54,-1.7
18464,-1.99,5.16,-0.71,3.61,2.01,-0.54,3.03,-1.45,,340,-1.99,5.16,-0.71,3.61,2.01,-0.54,3.03,-1.45
18480,-2.08,5,-0.49,4.21,2.13,-0.63,2.78,-1.45,,356,-2.08,5,-0.49,4.21,2.13,-0.63,2.78,-1.45
18496,-1.74,5.3,-0.11,4.29,1.6,-0.72,2.59,-1.45,,372,-1.74,5.3,-0.11,4.29,1.6,-0.72,2.59,-1.45
18512,-1.74,5.26,-0.29,3.97,2.19,-0.44,3.34,-1.35,,388,-1.74,5.26,-0.29,3.97,2.19,-0.44,3.34,-1.35
18528,-1.55,5.31,-0.1,4.32,1.86,-0.53,3.34,-1.17,,404,-1.55,5.31,-0.1,4.32,1.86,-0.53,3.34,-1.17
